SystematicName	ControlType	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
DarkCorner	1	0.511742	5.13716	0
NC1_00000197	-1	1.30494	12.6513	0
NC1_00000215	-1	17.3401	12.8056	0
NC2_00079215	-1	-2.47959	12.6416	0
NC2_00092197	-1	1.63869	12.6631	0
NC2_00106057	-1	6.82303	12.6749	0
NC2_00122731	-1	0.77897	12.6523	0
NegativeControl	-1	-15.1846	56.8559	0
SCorner3	1	-0.0776753	0.991223	0
dmr_285	1	-1.50447	2.78999	0
dmr_3	1	-0.642774	2.79433	0
dmr_308	1	0.703256	2.79541	0
dmr_316	1	-0.272245	2.79352	0
dmr_31a	1	-1.41468	2.7921	0
dmr_6	1	1.45983	2.80467	0
ebv-miR-BART1-3p	0	-0.897072	1.57884	0
ebv-miR-BART1-5p	0	-0.425523	1.58106	0
ebv-miR-BART10	0	2.22284	1.59119	0
ebv-miR-BART10*	0	-0.853268	1.57921	0
ebv-miR-BART11-3p	0	-0.483984	1.57979	0
ebv-miR-BART11-5p	0	-1.29944	1.5791	0
ebv-miR-BART12	0	2328.07	117.953	1
ebv-miR-BART13	0	6.669	2.31486	1
ebv-miR-BART13*	0	-1.78005	1.57841	0
ebv-miR-BART14	0	-0.90326	1.57881	0
ebv-miR-BART14*	0	-1.30597	1.57877	0
ebv-miR-BART15	0	2.00767	1.58694	0
ebv-miR-BART16	0	14.158	1.8662	1
ebv-miR-BART17-3p	0	-0.0208782	1.5886	0
ebv-miR-BART17-5p	0	-3.04913	1.57799	0
ebv-miR-BART18-3p	0	-1.70994	1.57897	0
ebv-miR-BART18-5p	0	-1.3492	1.5783	0
ebv-miR-BART19-3p	0	0.821732	1.58653	0
ebv-miR-BART19-5p	0	-2.44805	1.57843	0
ebv-miR-BART2-3p	0	-0.714955	1.57945	0
ebv-miR-BART2-5p	0	-0.69629	1.579	0
ebv-miR-BART20-3p	0	-1.50272	1.58344	0
ebv-miR-BART20-5p	0	-0.991969	1.57968	0
ebv-miR-BART3	0	-0.8311	1.58116	0
ebv-miR-BART3*	0	1.84624	1.58575	0
ebv-miR-BART4	0	1.61216	1.49549	0
ebv-miR-BART5	0	-1.95379	1.5787	0
ebv-miR-BART6-3p	0	-1.25715	1.5785	0
ebv-miR-BART6-5p	0	-1.9777	1.57896	0
ebv-miR-BART7	0	-0.504284	1.57897	0
ebv-miR-BART7*	0	-0.670678	1.57954	0
ebv-miR-BART8	0	-0.556787	1.58336	0
ebv-miR-BART8*	0	-0.68052	1.57924	0
ebv-miR-BART9	0	-1.79523	1.57845	0
ebv-miR-BART9*	0	-1.27653	1.5796	0
ebv-miR-BHRF1-1	0	1.36485	1.58667	0
ebv-miR-BHRF1-2	0	-0.96318	1.57875	0
ebv-miR-BHRF1-2*	0	-1.96992	1.57825	0
ebv-miR-BHRF1-3	0	-1.62095	1.57853	0
hcmv-miR-UL112	0	-1.33112	1.57856	0
hcmv-miR-UL148D	0	2.1626	1.59123	0
hcmv-miR-UL22A	0	-0.362943	1.57883	0
hcmv-miR-UL22A*	0	-0.426309	1.58049	0
hcmv-miR-UL36	0	-1.74265	1.57804	0
hcmv-miR-UL36*	0	-1.00747	1.57987	0
hcmv-miR-UL70-3p	0	1.45839	2.2431	0
hcmv-miR-UL70-5p	0	-2.54673	1.57825	0
hcmv-miR-US25-1	0	-2.02962	1.57993	0
hcmv-miR-US25-1*	0	-0.443325	1.57962	0
hcmv-miR-US25-2-3p	0	-1.23704	1.57896	0
hcmv-miR-US25-2-5p	0	-1.26899	1.5787	0
hcmv-miR-US33-3p	0	-2.42379	1.57814	0
hcmv-miR-US33-5p	0	0.64841	1.58289	0
hcmv-miR-US4	0	-0.000969936	1.57951	0
hcmv-miR-US5-1	0	-1.92675	1.57967	0
hcmv-miR-US5-2	0	-0.0146814	1.58375	0
hiv1-miR-H1	0	0.171688	2.23428	0
hiv1-miR-N367	0	-0.204113	1.57942	0
hsa-let-7a	0	30525.9	2346.07	1
hsa-let-7a*	0	0.468756	1.58053	0
hsa-let-7b	0	25177.4	1984.37	1
hsa-let-7b*	0	10.1891	1.68432	1
hsa-let-7c	0	2609.63	241.016	1
hsa-let-7c*	0	-1.07219	1.57857	0
hsa-let-7d	0	12699	1052.05	1
hsa-let-7d*	0	60.5659	5.50002	1
hsa-let-7e	0	10334.9	801.503	1
