SystematicName	ControlType	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
hsa-miR-1237	0	3.52147	1.72477	0
hsa-miR-1238	0	8.43471	1.77063	0
hsa-miR-124	0	2.5391	2.00184	0
hsa-miR-124*	0	-2.44464	1.71106	0
hsa-miR-125a-3p	0	13.97	2.18615	1
hsa-miR-125a-5p	0	1510.09	137.052	1
hsa-miR-125b	0	129.333	12.3684	1
hsa-miR-125b-1*	0	0.0584556	1.72488	0
hsa-miR-125b-2*	0	-0.236522	2.42519	0
hsa-miR-126	0	39229.8	3160.29	1
hsa-miR-126*	0	1022.79	88.1391	1
hsa-miR-127-3p	0	90.4721	7.85457	1
hsa-miR-127-5p	0	-2.62799	1.71046	0
hsa-miR-128	0	777.915	62.358	1
hsa-miR-129*	0	1.34689	2.4294	0
hsa-miR-129-3p	0	5.39997	2.45926	0
hsa-miR-129-5p	0	-0.178772	2.42178	0
hsa-miR-130a	0	26807.7	1970.73	1
hsa-miR-130a*	0	0.00228268	1.7166	0
hsa-miR-130b	0	2849.24	240.759	1
hsa-miR-130b*	0	20.8534	2.27151	1
hsa-miR-132	0	83.0855	6.98268	1
hsa-miR-132*	0	10.8965	2.62163	1
hsa-miR-133a	0	15.7012	2.73318	1
hsa-miR-133b	0	250.928	22.4538	1
hsa-miR-134	0	21.177	2.9428	1
hsa-miR-135a	0	2.77218	2.43103	0
hsa-miR-135a*	0	-1.04239	1.7134	0
hsa-miR-135b	0	1.45592	2.42679	0
hsa-miR-135b*	0	-5.43016	1.71037	0
hsa-miR-136	0	914.536	73.3613	1
hsa-miR-136*	0	47.5698	4.41818	1
hsa-miR-137	0	-1.26578	2.4201	0
hsa-miR-138	0	-1.83021	2.41982	0
hsa-miR-138-1*	0	-3.31596	1.71046	0
hsa-miR-138-2*	0	-1.58569	1.71319	0
hsa-miR-139-3p	0	65.8808	5.49837	1
hsa-miR-139-5p	0	1027.34	90.8609	1
hsa-miR-140-3p	0	1821.2	152.347	1
hsa-miR-140-5p	0	5483.76	396.945	1
hsa-miR-141	0	203.862	18.3262	1
hsa-miR-141*	0	-0.359431	1.71363	0
hsa-miR-142-3p	0	79713.6	5827.2	1
hsa-miR-142-5p	0	5632.83	398.512	1
hsa-miR-143	0	74.5405	7.67114	1
hsa-miR-143*	0	3.36151	2.44059	0
hsa-miR-144	0	584.01	41.5727	1
hsa-miR-144*	0	72.7102	7.27187	1
hsa-miR-145	0	277.144	24.591	1
hsa-miR-145*	0	6.53793	2.49644	1
hsa-miR-146a	0	7755.32	673.436	1
hsa-miR-146a*	0	0.677987	1.71372	0
hsa-miR-146b-3p	0	-1.30586	1.71284	0
hsa-miR-146b-5p	0	819.753	73.2329	1
hsa-miR-147	0	-0.844204	2.4225	0
hsa-miR-147b	0	-1.27106	1.71912	0
hsa-miR-148a	0	2598.54	192.526	1
hsa-miR-148a*	0	4.62871	1.79383	1
hsa-miR-148b	0	2235.26	203.701	1
hsa-miR-148b*	0	7.84481	1.84519	1
hsa-miR-149	0	6.84837	2.47457	0
hsa-miR-149*	0	-1.2806	1.71336	0
hsa-miR-150	0	2256.98	185.963	1
hsa-miR-150*	0	4.42817	1.7701	0
hsa-miR-151-3p	0	4221.1	335.352	1
hsa-miR-151-5p	0	12805.4	1123.34	1
hsa-miR-152	0	197.651	19.1956	1
hsa-miR-153	0	21.5495	3.24595	1
hsa-miR-154	0	69.4698	6.73682	1
hsa-miR-154*	0	47.4458	4.16142	1
hsa-miR-155	0	228.604	19.975	1
hsa-miR-155*	0	-2.23524	1.71154	0
hsa-miR-15a	0	31564.2	2329.32	1
hsa-miR-15a*	0	36.1236	3.58353	1
hsa-miR-15b	0	59888.4	4546.34	1
hsa-miR-15b*	0	26.2377	2.78329	1
hsa-miR-16	0	60607.1	5004.68	1
hsa-miR-16-1*	0	-0.286705	1.71251	0
hsa-miR-16-2*	0	98.2749	9.1056	1
hsa-miR-17	0	14488.1	1181.27	1
hsa-miR-17*	0	1529.47	127.532	1
hsa-miR-181a	0	2548.07	209.23	1
