SystematicName	ControlType	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
DarkCorner	1	5.37072	5.53895	0
NC1_00000197	-1	3.45326	13.465	0
NC1_00000215	-1	5.04446	13.4809	0
NC2_00079215	-1	1.36804	13.4656	0
NC2_00092197	-1	4.35404	13.4777	0
NC2_00106057	-1	6.55279	13.4972	0
NC2_00122731	-1	4.89203	13.4997	0
NegativeControl	-1	5.48596	60.6093	0
SCorner3	1	-0.715945	1.05065	0
dmr_285	1	-0.505816	2.97302	0
dmr_3	1	-0.453627	2.97124	0
dmr_308	1	0.201565	2.97435	0
dmr_316	1	0.548161	2.97476	0
dmr_31a	1	-1.63478	2.96954	0
dmr_6	1	4.00451	2.99913	0
ebv-miR-BART1-3p	0	-1.60168	1.67943	0
ebv-miR-BART1-5p	0	-2.23581	1.67981	0
ebv-miR-BART10	0	-0.0189789	1.68372	0
ebv-miR-BART10*	0	3.72723	1.72804	1
ebv-miR-BART11-3p	0	-2.82549	1.67985	0
ebv-miR-BART11-5p	0	0.892323	1.6883	0
ebv-miR-BART12	0	586.425	30.8789	1
ebv-miR-BART13	0	4.20017	2.40957	0
ebv-miR-BART13*	0	1.14488	1.693	0
ebv-miR-BART14	0	-1.58298	1.68026	0
ebv-miR-BART14*	0	-1.15383	1.68147	0
ebv-miR-BART15	0	3.02372	1.69895	0
ebv-miR-BART16	0	1.21229	1.68481	0
ebv-miR-BART17-3p	0	-0.26744	1.68222	0
ebv-miR-BART17-5p	0	-2.50596	1.67986	0
ebv-miR-BART18-3p	0	0.251781	1.68631	0
ebv-miR-BART18-5p	0	-0.638026	1.68512	0
ebv-miR-BART19-3p	0	0.0221931	1.69048	0
ebv-miR-BART19-5p	0	-1.11721	1.68265	0
ebv-miR-BART2-3p	0	-0.662144	1.68103	0
ebv-miR-BART2-5p	0	-1.23716	1.68156	0
ebv-miR-BART20-3p	0	-0.362338	1.68175	0
ebv-miR-BART20-5p	0	-0.107235	1.6838	0
ebv-miR-BART3	0	-1.30938	1.68107	0
ebv-miR-BART3*	0	2.60355	1.718	0
ebv-miR-BART4	0	-0.900318	1.58539	0
ebv-miR-BART5	0	-0.23565	1.68107	0
ebv-miR-BART6-3p	0	-1.80708	1.67986	0
ebv-miR-BART6-5p	0	-0.450623	1.68543	0
ebv-miR-BART7	0	0.356912	1.69776	0
ebv-miR-BART7*	0	-1.22588	1.68193	0
ebv-miR-BART8	0	3.68897	1.73254	0
ebv-miR-BART8*	0	-2.2204	1.67987	0
ebv-miR-BART9	0	-1.20635	1.67974	0
ebv-miR-BART9*	0	-1.39271	1.68069	0
ebv-miR-BHRF1-1	0	2.79274	1.70264	0
ebv-miR-BHRF1-2	0	-2.16052	1.68172	0
ebv-miR-BHRF1-2*	0	0.556793	1.68115	0
ebv-miR-BHRF1-3	0	-1.34027	1.68141	0
hcmv-miR-UL112	0	-1.45053	1.68044	0
hcmv-miR-UL148D	0	0.60505	1.68518	0
hcmv-miR-UL22A	0	-1.23648	1.69539	0
hcmv-miR-UL22A*	0	-1.6258	1.67949	0
hcmv-miR-UL36	0	-2.77067	1.68008	0
hcmv-miR-UL36*	0	-1.11835	1.68127	0
hcmv-miR-UL70-3p	0	1.47772	2.38395	0
hcmv-miR-UL70-5p	0	0.233855	1.72901	0
hcmv-miR-US25-1	0	-0.346809	1.68671	0
hcmv-miR-US25-1*	0	-0.294884	1.68123	0
hcmv-miR-US25-2-3p	0	-3.03884	1.6795	0
hcmv-miR-US25-2-5p	0	-0.973202	1.67981	0
hcmv-miR-US33-3p	0	-2.74828	1.67941	0
hcmv-miR-US33-5p	0	0.136966	1.68107	0
hcmv-miR-US4	0	0.789494	1.68719	0
hcmv-miR-US5-1	0	-1.76836	1.6874	0
hcmv-miR-US5-2	0	-1.2695	1.6803	0
hiv1-miR-H1	0	-2.48495	2.37637	0
hiv1-miR-N367	0	0.231362	1.69086	0
hsa-let-7a	0	29587.7	2311.49	1
hsa-let-7a*	0	1.81559	1.68765	0
hsa-let-7b	0	12508.4	1006.22	1
hsa-let-7b*	0	2.97567	1.70122	0
hsa-let-7c	0	1214.1	112.043	1
hsa-let-7c*	0	1.96503	1.78173	1
hsa-let-7d	0	12335.2	1038.5	1
hsa-let-7d*	0	326.797	27.6159	1
hsa-let-7e	0	1828.64	148.173	1
hsa-let-7e*	0	2.34298	1.69839	0
