"ID"	"miRNA_ID"	"SPOT_ID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"hsa-miR-628-3p"	"hsa-miR-628-3p"	"hsa-miR-628-3p"	""	-4.93192543633333	-4.93192543633333	-39.4718235875424	3.85464609890557e-20	3.03966378085125e-19	36.3890808346796
"hsa-miR-7"	"hsa-miR-7"	"hsa-miR-7"	""	-6.30225777111111	-6.30225777111111	-39.0824480410342	4.66989942764935e-20	3.52883729055357e-19	36.198651592275
"hsa-miR-107"	"hsa-miR-107"	"hsa-miR-107"	""	3.13874094811111	3.13874094811111	39.0563357976685	4.73068767211891e-20	3.52883729055357e-19	36.1858075978143
"hsa-miR-92a"	"hsa-miR-92a"	"hsa-miR-92a"	""	4.43247389433334	4.43247389433333	38.8888361396224	5.14092018222948e-20	3.7339315007772e-19	36.1031968836754
"hsa-miR-200c"	"hsa-miR-200c"	"hsa-miR-200c"	""	-4.06503687261111	-4.06503687261111	-38.5474424772997	6.09712417437787e-20	4.31488787725203e-19	35.933624521809
"hsa-miR-30c"	"hsa-miR-30c"	"hsa-miR-30c"	""	2.42816376576471	2.42816376576471	41.9061273958996	7.29486895556394e-20	4.91069227252597e-19	35.7800568930235
"hsa-miR-301b"	"hsa-miR-301b"	"hsa-miR-301b"	""	-4.100339051	-4.100339051	-38.2265758936807	7.1670489344509e-20	4.91069227252597e-19	35.7727642222575
"hsa-miR-545"	"hsa-miR-545"	"hsa-miR-545"	""	-6.32014148770588	-6.32014148770588	-41.8020303159968	7.63649327059545e-20	5.01826700639129e-19	35.7351626171852
"hsa-miR-141"	"hsa-miR-141"	"hsa-miR-141"	""	-4.95792079827778	-4.95792079827778	-36.2908291065515	1.95669155635326e-19	1.25592295245e-18	34.7704913482748
"hsa-miR-29b-2*"	"hsa-miR-29b-2*"	"hsa-miR-29b-2*"	""	-4.46580749061111	-4.46580749061111	-36.0015878435334	2.28367154284934e-19	1.43248487687822e-18	34.6158411096016
"hsa-miR-627"	"hsa-miR-627"	"hsa-miR-627"	""	-5.58860126611765	-5.58860126611765	-38.7073888407142	3.14091840976541e-19	1.92642995798945e-18	34.3408806085109
"hsa-miR-32"	"hsa-miR-32"	"hsa-miR-32"	""	-4.88009038616667	-4.88009038616667	-35.3123288322388	3.31660923643862e-19	1.98996554186317e-18	34.2419303298763
"hsa-miR-362-5p"	"hsa-miR-362-5p"	"hsa-miR-362-5p"	""	-7.70396353826666	-7.70396353826667	-47.3270767317104	3.9019327130396e-19	2.29134772084879e-18	34.1035672843516
"hsa-miR-192"	"hsa-miR-192"	"hsa-miR-192"	""	-3.51131520194445	-3.51131520194444	-34.0426422574952	6.72090429593922e-19	3.86451997016505e-18	33.5325125535519
"hsa-miR-423-3p"	"hsa-miR-423-3p"	"hsa-miR-423-3p"	""	1.93715600333333	1.93715600333333	33.8069653021646	7.68388009677073e-19	4.32806307491576e-18	33.3977724836468
"hsa-miR-497"	"hsa-miR-497"	"hsa-miR-497"	""	-4.54865247135294	-4.54865247135294	-36.6746206737048	8.45600217897042e-19	4.66771320279167e-18	33.3568715669523
"hsa-miR-1979"	"hsa-miR-1979"	"hsa-miR-1979"	""	3.9564821755	3.9564821755	33.009435584204	1.21708619429423e-18	6.58658411029821e-18	32.9344076241943
"hsa-miR-21*"	"hsa-miR-21*"	"hsa-miR-21*"	""	-5.03945265177778	-5.03945265177778	-32.6613418124315	1.49268316704221e-18	7.9227029635317e-18	32.7284895219922
"hsa-miR-570"	"hsa-miR-570"	"hsa-miR-570"	""	-6.6290764539375	-6.6290764539375	-38.037068769756	2.44181442758869e-18	1.27158638115939e-17	32.3415306010906
"hsa-miR-27a"	"hsa-miR-27a"	"hsa-miR-27a"	""	3.66866787442857	3.66866787442857	47.2829650877599	2.94034819093559e-18	1.50284463092264e-17	32.1139422044991
"hsa-miR-660"	"hsa-miR-660"	"hsa-miR-660"	""	-4.89687012866667	-4.89687012866667	-31.4605853311447	3.06839726652938e-18	1.53550796760364e-17	32.0002609163606
"hsa-miR-221"	"hsa-miR-221"	"hsa-miR-221"	""	2.56006472166667	2.56006472166667	31.4356521350531	3.11552341252913e-18	1.53550796760364e-17	31.9848363570891
"hsa-miR-200a"	"hsa-miR-200a"	"hsa-miR-200a"	""	-6.83687001627778	-6.83687001627778	-31.2440373046926	3.50406024573406e-18	1.69670285582912e-17	31.8658736421337
"hsa-miR-532-5p"	"hsa-miR-532-5p"	"hsa-miR-532-5p"	""	-3.7480240055	-3.7480240055	-30.8537068954614	4.46151753729902e-18	2.12306696602505e-17	31.6211966338417
"hsa-miR-320a"	"hsa-miR-320a"	"hsa-miR-320a"	""	2.12826445911111	2.12826445911111	30.7014277231419	4.90634332565131e-18	2.29517077606739e-17	31.5248763939872
"hsa-miR-30e"	"hsa-miR-30e"	"hsa-miR-30e"	""	1.94533167238889	1.94533167238889	30.5404041350768	5.42772769084714e-18	2.4591076017602e-17	31.4224898107739
"hsa-miR-195"	"hsa-miR-195"	"hsa-miR-195"	""	-3.75589266061111	-3.75589266061111	-30.5382793704929	5.4349841922961e-18	2.4591076017602e-17	31.4211350815353
"hsa-miR-132"	"hsa-miR-132"	"hsa-miR-132"	""	-4.6040425415625	-4.6040425415625	-35.6608985698973	7.48902890608063e-18	3.28090790171152e-17	31.2294096859747
"hsa-miR-425*"	"hsa-miR-425*"	"hsa-miR-425*"	""	-2.15826632238889	-2.15826632238889	-30.1583421735853	6.91163283989882e-18	3.07679139324528e-17	31.1773240946281
"hsa-miR-26a"	"hsa-miR-26a"	"hsa-miR-26a"	""	4.27977471135714	4.27977471135714	43.1148356838766	1.22638178563984e-17	5.20740573594765e-17	30.7624809257727
"hsa-miR-21"	"hsa-miR-21"	"hsa-miR-21"	""	4.36795850016667	4.36795850016667	29.2890917688486	1.2112133020115e-17	5.20740573594765e-17	30.607494088457
"hsa-miR-210"	"hsa-miR-210"	"hsa-miR-210"	""	-3.905583023875	-3.905583023875	-33.2480020182233	2.52416911813336e-17	1.02451570088942e-16	30.0146508513964
"hsa-miR-9"	"hsa-miR-9"	"hsa-miR-9"	""	-6.17714840217647	-6.17714840217647	-30.5248374147752	2.43022729010512e-17	1.01627686677123e-16	29.9816140080488
"hsa-let-7a"	"hsa-let-7a"	"hsa-let-7a"	""	3.91097581594445	3.91097581594444	28.2199263289092	2.46927203438481e-17	1.01719265894061e-16	29.882550356637
"hsa-miR-542-5p"	"hsa-miR-542-5p"	"hsa-miR-542-5p"	""	-5.564348714625	-5.564348714625	-32.5975713836072	3.55414581290553e-17	1.40134892051704e-16	29.6709939025594
"hsa-miR-153"	"hsa-miR-153"	"hsa-miR-153"	""	-5.57828682033334	-5.57828682033333	-27.7397249349857	3.42899915537639e-17	1.37159966215056e-16	29.547866349064
"hsa-miR-30e*"	"hsa-miR-30e*"	"hsa-miR-30e*"	""	-1.49237182661111	-1.49237182661111	-26.9215963744669	6.07601627161856e-17	2.36194435347426e-16	28.9640129353579
"hsa-miR-92b"	"hsa-miR-92b"	"hsa-miR-92b"	""	-4.31363196988889	-4.31363196988889	-26.8062960086276	6.59491682957523e-17	2.52805145133717e-16	28.880303446792
"hsa-miR-20b*"	"hsa-miR-20b*"	"hsa-miR-20b*"	""	-7.0080658366875	-7.0080658366875	-30.8187003147012	9.38317964458398e-17	3.51471209238922e-16	28.6927013772164
"hsa-miR-450a"	"hsa-miR-450a"	"hsa-miR-450a"	""	-4.32432718838889	-4.32432718838889	-26.3095829435255	9.42350343611602e-17	3.51471209238922e-16	28.5155261492039
"hsa-miR-199b-5p"	"hsa-miR-199b-5p"	"hsa-miR-199b-5p"	""	-2.90263573805556	-2.90263573805556	-26.0687580032698	1.12296126291347e-16	4.13249744752158e-16	28.3361923266514
"hsa-miR-296-5p"	"hsa-miR-296-5p"	"hsa-miR-296-5p"	""	-4.47553793227778	-4.47553793227778	-25.7345289353462	1.43603061342647e-16	5.21505854349613e-16	28.0845582004613
"hsa-miR-629"	"hsa-miR-629"	"hsa-miR-629"	""	-4.72002777933333	-4.72002777933333	-25.243288761457	2.07270343079811e-16	7.42943047922439e-16	27.7087769507828
"hsa-miR-99a*"	"hsa-miR-99a*"	"hsa-miR-99a*"	""	-5.39058066227778	-5.39058066227778	-25.1183326265856	2.27794713595263e-16	8.060428327217e-16	27.6120375327107
"hsa-miR-500"	"hsa-miR-500"	"hsa-miR-500"	""	-4.78344410916667	-4.78344410916667	-24.7951415070828	2.91408744423241e-16	1.01808624633942e-15	27.3596110647744
"hsa-miR-182"	"hsa-miR-182"	"hsa-miR-182"	""	-5.87458331347059	-5.87458331347059	-26.2954382734775	3.66081947881257e-16	1.26298272019034e-15	27.2213766696117
"hsa-miR-188-5p"	"hsa-miR-188-5p"	"hsa-miR-188-5p"	""	-7.72604134030769	-7.72604134030769	-38.1169496197593	5.10767526828892e-16	1.69845587234668e-15	27.146243874652
"hsa-miR-196a"	"hsa-miR-196a"	"hsa-miR-196a"	""	-5.37198920983333	-5.37198920983333	-24.4711264885587	3.74161877556261e-16	1.27492195315467e-15	27.1032730671943
"hsa-miR-142-5p"	"hsa-miR-142-5p"	"hsa-miR-142-5p"	""	1.70676147511111	1.70676147511111	24.3489787850204	4.11466521484905e-16	1.38493609670529e-15	27.0057733138371
"hsa-miR-361-3p"	"hsa-miR-361-3p"	"hsa-miR-361-3p"	""	-2.38410712955556	-2.38410712955556	-23.9438985150127	5.65744262481902e-16	1.85887400529768e-15	26.6789729786771
"hsa-miR-191"	"hsa-miR-191"	"hsa-miR-191"	""	1.57798936238889	1.57798936238889	23.7837784618008	6.42520977177396e-16	2.0863034082466e-15	26.5483042884908
"hsa-miR-720"	"hsa-miR-720"	"hsa-miR-720"	""	3.329709135	3.329709135	23.6463299479214	7.17146231703874e-16	2.30153906918918e-15	26.4354515074936
"hsa-miR-514"	"hsa-miR-514"	"hsa-miR-514"	""	-8.465082996	-8.465082996	-49.09919070344	9.26200310099099e-16	2.93829063893507e-15	26.3757284802488
"hsa-miR-501-5p"	"hsa-miR-501-5p"	"hsa-miR-501-5p"	""	-6.03962098735294	-6.03962098735294	-24.8520429118228	1.01696712814574e-15	3.18957872009347e-15	26.1754618153472
"hsa-miR-18a*"	"hsa-miR-18a*"	"hsa-miR-18a*"	""	-2.97492943261111	-2.97492943261111	-22.8776153822496	1.34082344858651e-15	4.15805923381884e-15	25.7923037843764
"hsa-miR-503"	"hsa-miR-503"	"hsa-miR-503"	""	-3.70717562905556	-3.70717562905556	-22.8637518754436	1.35628363794395e-15	4.15926982302813e-15	25.7805137225963
"hsa-miR-625*"	"hsa-miR-625*"	"hsa-miR-625*"	""	-4.34338679627778	-4.34338679627778	-22.4212163722664	1.96235052883324e-15	5.95174446107664e-15	25.4004946642588
"hsa-miR-193b"	"hsa-miR-193b"	"hsa-miR-193b"	""	-6.1719409428125	-6.1719409428125	-25.3840398878757	2.64871060618126e-15	7.94613181854379e-15	25.2944104852673
"hsa-miR-328"	"hsa-miR-328"	"hsa-miR-328"	""	-1.35224397166667	-1.35224397166667	-21.7331833646031	3.5329050479536e-15	1.04847504648946e-14	24.7951006948732
"hsa-miR-877"	"hsa-miR-877"	"hsa-miR-877"	""	-5.97870463941667	-5.97870463941667	-35.0088968521868	1.03253357571553e-14	2.96853403018215e-14	24.2260664544654
"hsa-miR-181a"	"hsa-miR-181a"	"hsa-miR-181a"	""	3.52127776305556	3.52127776305556	20.8653614047981	7.60469408898818e-15	2.23286762612844e-14	24.0048780073027
"hsa-let-7c"	"hsa-let-7c"	"hsa-let-7c"	""	1.39600362288889	1.39600362288889	20.8261911635804	7.87786461899386e-15	2.28872698404453e-14	23.9684791584619
"hsa-miR-193a-3p"	"hsa-miR-193a-3p"	"hsa-miR-193a-3p"	""	-7.49862599025	-7.49862599025	-34.0282179582489	1.51283012890508e-14	4.26062362834491e-14	23.8526134487978
"hsa-miR-663"	"hsa-miR-663"	"hsa-miR-663"	""	-5.61159588009091	-5.61159588009091	-38.9083766338394	1.70053004521001e-14	4.74087164119155e-14	23.7236118489045
"hsa-miR-584"	"hsa-miR-584"	"hsa-miR-584"	""	-3.99408883155556	-3.99408883155556	-20.2631186483577	1.31734789342022e-14	3.74833008849465e-14	23.4379826018487
"hsa-miR-95"	"hsa-miR-95"	"hsa-miR-95"	""	-7.01762500030769	-7.01762500030769	-28.6375227575909	3.14020666130797e-14	8.58115879723763e-14	23.0657712153376
"hsa-miR-365"	"hsa-miR-365"	"hsa-miR-365"	""	-3.98998304222222	-3.98998304222222	-19.7251895013819	2.17961164216574e-14	6.01572813237744e-14	22.9180820725533
"hsa-miR-493"	"hsa-miR-493"	"hsa-miR-493"	""	-6.84859377935714	-6.84859377935714	-25.1325631962568	4.90845624438208e-14	1.30262877254755e-13	22.5139562370336
"hsa-miR-299-5p"	"hsa-miR-299-5p"	"hsa-miR-299-5p"	""	-5.39083302916667	-5.39083302916667	-19.1301681492849	3.86073537586307e-14	1.04466957229236e-13	22.3273730729628
"hsa-miR-324-3p"	"hsa-miR-324-3p"	"hsa-miR-324-3p"	""	-1.30658880677778	-1.30658880677778	-19.1192003014281	3.90222199538132e-14	1.04564395216043e-13	22.3163255300754
"hsa-miR-34c-5p"	"hsa-miR-34c-5p"	"hsa-miR-34c-5p"	""	-8.2948967768	-8.2948967768	-39.7811233279532	9.37687038300676e-14	2.37432681257786e-13	22.0394384763245
"hsa-miR-484"	"hsa-miR-484"	"hsa-miR-484"	""	1.45877942916667	1.45877942916667	18.7981862829995	5.34873042998938e-14	1.40595199874007e-13	21.9903574860159
"hsa-miR-340"	"hsa-miR-340"	"hsa-miR-340"	""	-4.32590210588889	-4.32590210588889	-18.6192581615594	6.38991175780938e-14	1.66378834448622e-13	21.8064346322083
"hsa-miR-133b"	"hsa-miR-133b"	"hsa-miR-133b"	""	-3.796312122	-3.796312122	-18.5980803431011	6.52651796973066e-14	1.68347566322025e-13	21.7845582109263
"hsa-miR-150"	"hsa-miR-150"	"hsa-miR-150"	""	2.40913435694444	2.40913435694444	18.4617925539624	7.48216280739793e-14	1.91210827300169e-13	21.6432251897336
"hsa-miR-654-5p"	"hsa-miR-654-5p"	"hsa-miR-654-5p"	""	-6.55380198416667	-6.55380198416667	-28.7836541792934	1.4281853114933e-13	3.51945666046563e-13	21.6239061507597
"SNORD49A"	"SNORD49A"	""	"control"	5.64154404277778	5.64154404277778	46.7995895608667	1.29026729414768e-13	3.20823219085368e-13	21.5310364217249
"hsa-miR-487b"	"hsa-miR-487b"	"hsa-miR-487b"	""	-6.43749088605882	-6.43749088605882	-19.1073750271402	1.1282422534614e-13	2.83086238141225e-13	21.3234677841024
"hsa-miR-187"	"hsa-miR-187"	"hsa-miR-187"	""	-7.63554773011111	-7.63554773011111	-45.2831536414717	1.82574728057104e-13	4.45934734015583e-13	21.2375940655907
"hsa-miR-22*"	"hsa-miR-22*"	"hsa-miR-22*"	""	-2.51525012544444	-2.51525012544444	-17.5081862377201	1.9979102542103e-13	4.83704587861441e-13	20.6268078619984
"hsa-miR-92a-1*"	"hsa-miR-92a-1*"	"hsa-miR-92a-1*"	""	-4.29978946311111	-4.29978946311111	-17.2992957744968	2.49323205323452e-13	5.98375692776285e-13	20.3974748951899
"hsa-miR-423-5p"	"hsa-miR-423-5p"	"hsa-miR-423-5p"	""	-0.892872572777778	-0.892872572777778	-17.2332723834767	2.6753318760234e-13	6.36544480846947e-13	20.3244718572243
"hsa-miR-574-3p"	"hsa-miR-574-3p"	"hsa-miR-574-3p"	""	-2.01307184478571	-2.01307184478571	-21.3677570428911	5.75640764829805e-13	1.29168171620347e-12	19.9831034544712
"hsa-miR-886-3p"	"hsa-miR-886-3p"	"hsa-miR-886-3p"	""	-7.2777290824	-7.2777290824	-32.7269484624118	8.8358103446479e-13	1.93546321835145e-12	19.9217616909963
"hsa-miR-181a*"	"hsa-miR-181a*"	"hsa-miR-181a*"	""	-3.36696012538889	-3.36696012538889	-16.8482999143708	4.05484546496599e-13	9.56527648145822e-13	19.8937409864636
"hsa-miR-766"	"hsa-miR-766"	"hsa-miR-766"	""	-1.12021909633333	-1.12021909633333	-16.8325605258139	4.12510290953671e-13	9.64854578840789e-13	19.875944265525
"hsa-miR-106b"	"hsa-miR-106b"	"hsa-miR-106b"	""	1.05944223044444	1.05944223044444	16.796668041665	4.29013298660113e-13	9.95022440589843e-13	19.8353046366157
"hsa-miR-152"	"hsa-miR-152"	"hsa-miR-152"	""	-2.29303739183333	-2.29303739183333	-16.7801338567376	4.36846901389103e-13	1.00474787319494e-12	19.8165575975038
