	GSM857496	GSM857497	GSM857498	GSM857499	GSM857500
ILMN_1713218	117.8623	130.5551	148.5633	130.4162	127.0319
ILMN_1713219	114.2894	109.4748	113.2195	131.1717	131.5121
ILMN_1713235	124.4774	125.0464	107.1458	123.8203	116.6237
ILMN_1713246	141.1956	119.5487	115.8171	130.4806	127.3208
ILMN_1713247	112.3251	102.9234	113.7058	128.9838	122.406
ILMN_1713249	551.2993	704.4451	665.3953	651.5015	465.1753
ILMN_1713266	160.2129	159.7383	126.8059	194.3501	176.6971
ILMN_1713272	119.7408	120.3563	116.2024	109.6767	117.4232
ILMN_1713274	124.1597	122.0326	120.3979	113.8568	115.9726
ILMN_1713281	137.8142	129.3976	132.9354	140.9389	177.035
ILMN_1713285	241.5637	232.4191	167.6831	291.5123	323.4327
ILMN_1713290	490.0246	455.6171	430.5638	422.3718	564.2783
ILMN_1713301	529.502	485.9243	878.0936	711.3176	460.3064
ILMN_1713315	118.1638	123.8965	109.4723	130.68	140.0286
ILMN_1713320	116.8399	150.4779	136.352	133.9284	123.1286
ILMN_1713321	119.3408	108.1709	108.42	110.3461	106.3841
ILMN_1713322	871.3679	788.7861	460.8998	615.0433	782.918
ILMN_1713342	122.5581	135.2494	144.946	131.8948	145.8689
ILMN_1713347	124.064	124.9886	118.5065	122.7821	119.4681
ILMN_1713351	146.5202	142.1624	134.7712	123.3704	116.4253
ILMN_1713369	907.5606	978.4242	932.421	16511.71	14212.92
ILMN_1713380	1208.445	863.2386	1256.779	1545.331	1035.448
ILMN_1713384	110.6307	108.9542	119.4483	126.8498	129.266
ILMN_1713387	238.1104	189.0221	167.3465	129.0151	97.74031
ILMN_1713390	131.2106	155.6544	140.2613	126.417	120.684
ILMN_1713394	118.9176	131.8056	118.3438	28788	28979.55
ILMN_1713397	187.3638	168.6588	158.7704	234.4458	136.865
ILMN_1713401	116.2463	129.5315	149.1715	120.5877	116.3261
ILMN_1713402	348.5881	319.2202	581.3701	479.2322	454.369
ILMN_1713406	1335.331	1509.302	1773.428	1447.119	1839.675
ILMN_1713412	2016.644	1961.668	2102.135	132.5479	137.7942
ILMN_1713422	1111.545	964.1117	737.0533	124.4844	128.2801
ILMN_1713427	115.8087	116.5632	116.0354	136.0696	119.5087
ILMN_1713436	119.1824	116.4301	139.0044	131.9968	121.9552
ILMN_1713449	144.5517	148.3936	143.4362	197.4976	160.0544
ILMN_1713450	19151.91	23758.71	26043.47	6172.575	5183.136
ILMN_1713454	185.3385	178.0535	130.6779	386.0562	279.6037
ILMN_1713458	128.3175	113.4523	108.5292	105.1168	115.0835
ILMN_1713462	148.3831	115.1964	119.8086	131.6678	120.5395
ILMN_1713471	123.0686	127.3345	106.0565	111.3229	123.1322
ILMN_1713482	1143.517	1107.965	696.0391	1005.015	1709.429
ILMN_1713486	1152.988	1256.779	1399.501	383.787	264.3899
ILMN_1713491	118.7702	159.1984	126.4056	342.3837	311.6067
ILMN_1713496	220.6414	279.7809	399.7491	235.8368	341.2245
ILMN_1713499	122.2964	132.758	122.2323	129.7057	130.0943
ILMN_1713505	109.1887	108.1854	109.9251	597.0834	530.7164
ILMN_1713521	119.6424	117.0327	105.5691	347.6055	282.8244
ILMN_1713523	127.502	124.6912	134.7338	106.7564	112.1409
ILMN_1713529	125.6268	131.7375	116.4265	2383.73	3532.754
ILMN_1713533	13026.51	18302.57	19543.83	114.1868	100.3666
ILMN_1713534	1586.472	1497.397	1716.322	122.221	125.5825
ILMN_1713542	129.5518	117.668	112.0675	124.4429	110.8053
ILMN_1713550	137.3516	126.3004	128.0051	139.6504	149.9138
ILMN_1713553	121.5475	124.2703	122.0408	134.0915	131.3362
ILMN_1713561	130.1271	122.3732	130.3003	140.8649	131.8508
ILMN_1713574	120.6858	117.9313	123.8025	118.7451	129.6558
ILMN_1713599	105.4681	115.2676	109.8047	100.6721	116.4652
ILMN_1713602	118.4461	126.8576	186.5038	108.518	106.1197
ILMN_1713603	164.8973	189.3116	194.3678	111.262	107.5452
ILMN_1713605	2631.7	2547.962	2125.848	624.0471	481.2809
ILMN_1713613	353.8303	463.7854	557.7902	113.1473	125.8082
ILMN_1713630	132.5757	125.5096	108.0928	122.7477	122.2914
ILMN_1713636	995.1639	970.4131	2573.041	519.6603	641.1475
ILMN_1713638	125.4179	125.7121	140.037	138.4435	150.8197
ILMN_1713650	115.0887	147.5205	137.187	113.4414	142.3768
ILMN_1713655	128.8062	130.2649	121.9692	117.9302	127.5854
ILMN_1713668	118.3667	106.5849	119.9496	245.7169	186.1347
ILMN_1713676	110.2999	133.2059	112.8749	125.0015	123.8148
ILMN_1713679	199.0445	175.1028	130.3157	250.4702	183.7694
ILMN_1713682	346.8149	331.8417	290.5376	361.7306	499.0047
ILMN_1713685	148.2456	177.4763	156.6981	108.2214	116.6502
ILMN_1713686	130.2908	113.676	109.6789	126.4378	127.7145
ILMN_1713688	381.5435	360.2958	298.1037	345.6949	446.1215
ILMN_1713706	290.4673	359.401	547.2217	416.8221	380.6591
ILMN_1713709	119.2322	129.9702	127.1216	120.5275	127.1655
ILMN_1713715	122.7172	116.4253	119.2687	129.196	118.598
ILMN_1713726	264.6129	258.1626	189.2271	106.1153	114.5722
ILMN_1713729	138.0296	141.8913	145.6771	135.5193	138.7879
ILMN_1713731	164.0933	142.5309	147.0105	131.8222	117.6469
ILMN_1713732	1193.318	1413.727	1281.367	1276.903	1430.254
ILMN_1713736	125.9479	122.7968	106.5803	134.9543	124.3011
ILMN_1713744	714.8691	702.7535	543.691	440.7734	553.5281
ILMN_1713746	124.2864	126.4222	140.279	134.6276	124.2101
ILMN_1713749	370.0465	375.2674	475.0479	299.6828	223.0139
ILMN_1713750	113.4523	112.7931	128.0481	132.6064	166.2646
ILMN_1713751	672.2278	831.3152	1545.917	1761.354	2475.412
ILMN_1713752	291.1147	359.8721	608.4354	140.3438	125.7468
ILMN_1713753	302.064	259.9805	202.3721	113.8326	124.9367
ILMN_1713756	2053.555	2309.668	1636.088	1591.958	2423.413
ILMN_1713758	134.4108	144.8922	127.5941	108.1556	107.4104
ILMN_1713759	157.7432	134.8075	158.9539	160.458	235.8368
ILMN_1713764	371.2436	247.8139	233.083	122.1754	138.3514
ILMN_1713788	121.2102	106.3282	129.6727	141.5606	129.8826
ILMN_1713800	533.2474	561.8344	619.1635	129.7002	116.235
ILMN_1713803	164.2013	159.6425	162.679	177.8388	175.3071
ILMN_1713807	799.6824	988.934	1478.941	157.9989	194.5163
ILMN_1713811	122.9866	130.8136	130.071	130.5612	125.1857
ILMN_1713813	108.7565	127.2824	125.4461	124.3602	138.3568
ILMN_1713818	107.9752	117.3103	119.5875	214.6813	166.1061
ILMN_1713823	128.5979	130.7227	143.8639	106.1521	113.3556
ILMN_1713829	108.9848	106.9649	102.8689	185.2344	161.3068
ILMN_1713832	152.4544	139.0146	134.7828	170.2893	192.2146
ILMN_1713833	1816.897	864.4719	647.6634	125.1807	130.2111
ILMN_1713835	280.0576	319.6872	513.3523	476.4039	433.9142
ILMN_1713838	122.8031	110.4496	122.808	178.5327	125.6715
ILMN_1713840	153.9335	147.2263	169.2339	120.4334	125.2307
ILMN_1713841	133.114	147.4127	129.5728	104.2298	111.0564
ILMN_1713846	370.6386	385.305	358.4569	369.217	534.5355
ILMN_1713862	141.8105	164.371	175.6158	127.1464	143.8784
ILMN_1713867	204.6339	202.9554	225.2718	120.7797	115.7191
ILMN_1713868	138.5351	126.0687	135.1373	115.6056	122.2276
ILMN_1713873	125.1892	121.8296	128.9625	121.4276	124.9123
ILMN_1713875	349.482	315.6073	217.8081	1022.398	803.0078
ILMN_1713884	344.3098	324.7945	505.3103	504.0443	403.513
ILMN_1713892	1993.41	1979.395	1463.424	1446.357	1909.508
ILMN_1713896	117.2366	118.0466	115.9297	122.1519	126.5115
ILMN_1713901	3580.538	3574.405	4242.485	440.0338	500.2552
ILMN_1713918	173.9177	222.089	145.8575	210.8119	206.4771
ILMN_1713927	110.363	110.6404	108.322	115.9749	109.8715
ILMN_1713934	277.8466	245.1881	177.4012	3719.569	3935.78
ILMN_1713935	124.7926	135.055	118.1509	113.3674	130.4941
ILMN_1713936	123.7764	121.6754	110.1872	119.297	124.4175
ILMN_1713948	126.1818	132.208	141.0535	136.8703	128.7498
ILMN_1713952	1003.746	1223.943	1568.477	1454.428	1320.7
ILMN_1713956	117.0707	112.8435	126.5563	122.5599	128.216
ILMN_1713964	450.3137	403.8636	334.9958	428.5919	669.9664
ILMN_1713966	1274.118	645.9478	485.4708	1615.528	1423.775
ILMN_1713978	149.4039	187.1871	135.6141	1599.198	1190.749
ILMN_1713982	134.9755	123.9992	130.8717	134.7861	110.1852
ILMN_1713983	124.5873	124.2537	130.9546	146.1805	123.6954
ILMN_1713985	115.9322	109.6336	117.511	1027.835	901.9703
ILMN_1713990	1108.757	1699.054	980.0208	5747.029	4145.639
ILMN_1713992	120.3222	139.8684	131.1342	116.0034	112.432
ILMN_1713993	115.2953	119.9206	157.9686	765.1343	815.1953
ILMN_1713995	584.257	541.8397	604.093	2894.746	2226.922
ILMN_1714000	130.1774	125.3396	120.6654	124.2811	113.4495
ILMN_1714010	105.4886	121.1669	127.5986	146.3915	122.9009
ILMN_1714014	124.3652	121.6151	127.5508	160.9954	131.785
ILMN_1714023	212.558	139.6934	150.3747	159.0874	147.4312
ILMN_1714028	127.6185	115.603	127.6065	123.8493	138.9508
ILMN_1714041	136.4135	117.3031	137.4286	151.4305	126.8101
ILMN_1714050	106.5888	139.6322	136.7376	135.0151	131.8185
ILMN_1714057	104.0062	125.8728	117.3952	107.4899	114.2502
ILMN_1714065	145.7011	129.3411	128.4871	147.311	125.6842
ILMN_1714067	117.1212	124.7206	120.0965	106.2584	114.8653
ILMN_1714068	124.3236	132.3042	167.0764	132.9206	124.4968
ILMN_1714073	175.5904	219.2933	242.4258	142.5645	130.3102
ILMN_1714082	1951.354	2167.99	904.0052	1211.435	1985.962
ILMN_1714083	221.0952	173.4324	129.2797	159.267	160.8194
ILMN_1714087	134.1225	139.1813	123.7833	120.3222	129.3603
ILMN_1714093	425.3798	279.1421	336.8893	202.9554	175.7922
ILMN_1714108	149.4561	144.0676	128.0565	449.0284	555.3676
ILMN_1714118	187.467	177.047	187.7087	164.7726	164.5823
ILMN_1714121	1164.047	769.8231	708.2435	123.9706	126.3821
ILMN_1714128	127.5753	130.8854	124.8269	127.0538	124.975
ILMN_1714148	353.5511	436.0417	443.4897	433.2935	479.8215
ILMN_1714155	134.0417	121.876	124.6276	124.0333	131.8871
ILMN_1714157	154.1303	117.043	121.5404	121.7168	126.1014
ILMN_1714158	113.4917	108.4791	105.6358	676.0524	863.7452
ILMN_1714159	134.1455	128.8951	210.4043	1115.158	1392.44
ILMN_1714162	309.3655	289.917	241.5995	125.7768	128.5679
ILMN_1714165	188.6307	220.5484	316.4864	452.8342	388.3054
ILMN_1714167	2600.683	2522.327	2475.412	2094.51	2172.058
ILMN_1714170	494.629	494.1649	675.2604	304.7689	292.7822
ILMN_1714172	107.7943	117.7577	123.5747	140.059	138.603
ILMN_1714176	109.0569	113.9197	127.4455	139.3063	125.5354
ILMN_1714181	115.5084	118.8472	127.6233	278.7603	270.8619
ILMN_1714191	107.5215	120.6234	118.8463	127.4988	137.5151
ILMN_1714197	1037.734	1280.46	1333.932	1032.94	904.8463
ILMN_1714216	314.3473	277.3802	213.8597	522.1451	381.5435
ILMN_1714218	118.5036	110.3614	126.3062	120.9924	123.0379
ILMN_1714219	120.7545	122.7821	109.7377	117.4285	132.6391
ILMN_1714222	126.7171	170.9318	139.4822	136.9131	140.5781
ILMN_1714223	126.1983	136.0116	117.9248	120.5362	126.3925
ILMN_1714228	108.0569	114.4455	110.7517	119.134	113.3487
ILMN_1714252	5170.162	3942.658	4283.002	130.5642	140.1912
ILMN_1714253	112.8097	117.2497	130.0968	115.9356	119.2096
ILMN_1714271	147.923	141.6839	146.3386	137.1027	151.4673
ILMN_1714274	120.4863	114.8084	116.2416	164.1672	162.8923
ILMN_1714278	703.4067	363.8857	417.743	622.1929	491.6347
ILMN_1714280	145.4856	157.481	160.0475	171.7853	127.88
ILMN_1714286	4256.635	5240.523	5638.289	121.53	133.1167
ILMN_1714296	119.1066	113.4373	142.292	140.5494	175.931
ILMN_1714324	125.6128	133.6053	127.1464	120.5524	125.3792
ILMN_1714327	9870.641	8108.603	4953.015	818.8162	722.0802
ILMN_1714335	124.0921	136.7646	136.5942	237.7778	239.6927
ILMN_1714349	215.0793	186.9645	224.9362	182.441	271.52
ILMN_1714352	388.1174	427.5898	608.157	641.72	601.6497
ILMN_1714364	137.6332	118.5026	123.4894	1555.507	2761.95
ILMN_1714372	204.3027	195.7135	145.3928	133.9215	119.6715
ILMN_1714378	111.998	117.8222	125.8542	117.7059	117.6052
ILMN_1714383	249.6548	233.0313	311.8078	220.455	280.4163
ILMN_1714384	134.0973	180.3597	127.9005	1157.081	862.1541
ILMN_1714386	146.5835	130.1234	198.6212	150.4735	153.4288
ILMN_1714393	130.0895	107.7103	121.3168	240.1505	236.5957
ILMN_1714397	186.825	168.2698	189.6555	128.6909	125.0947
ILMN_1714399	143.4554	157.891	194.1138	132.0867	141.1195
ILMN_1714400	122.5855	124.6597	123.8996	140.6576	128.7435
ILMN_1714401	251.6712	254.5236	166.1509	1021.343	1639.95
ILMN_1714402	117.6066	110.6012	130.7828	112.064	107.1764
ILMN_1714412	192.8121	190.3971	127.1287	114.1882	122.394
ILMN_1714417	119.8873	123.0934	117.826	815.9042	445.7537
ILMN_1714418	365.8016	523.0665	366.3725	276.271	208.1049
ILMN_1714419	123.9975	120.3144	115.8247	112.8264	135.7681
ILMN_1714424	210.9154	179.8951	162.9733	133.5079	124.4628
ILMN_1714427	132.1449	128.3059	149.3336	122.8539	126.9345
ILMN_1714428	264.008	264.3555	310.6648	290.5376	250.3061
ILMN_1714433	146.9821	144.6032	133.0645	12568.13	13862.03
ILMN_1714438	130.0943	111.7903	139.5207	1635.399	1537.236
ILMN_1714444	441.4762	471.7576	530.3719	166.8871	217.6958
ILMN_1714445	336.8893	347.6055	284.2789	344.3098	310.7096
ILMN_1714446	542.3303	662.2959	703.7606	121.5053	124.3881
ILMN_1714449	137.6992	129.8277	136.5477	140.3097	141.6112
ILMN_1714458	111.9217	127.374	113.8104	154.7518	174.0593
ILMN_1714461	112.745	115.2155	112.1324	381.7841	415.7904
ILMN_1714466	120.8834	109.4878	125.8419	121.8256	127.6711
ILMN_1714473	141.937	139.9436	133.584	143.1358	162.9546
ILMN_1714476	137.3158	127.8082	117.4485	128.3067	130.3956
ILMN_1714478	121.5194	112.3154	130.816	116.7062	116.7513
ILMN_1714489	964.6732	1030.76	1435.854	1166.187	948.5252
ILMN_1714499	116.396	111.5379	125.7847	133.291	137.6319
ILMN_1714510	139.6465	128.3369	150.2206	145.2322	156.0054
ILMN_1714511	233.3474	158.2966	127.6891	123.9958	133.7978
ILMN_1714515	5392.984	5582.249	6653.411	1723.191	1241.906
ILMN_1714522	145.3992	155.5769	133.7159	136.13	172.125
ILMN_1714523	393.9469	334.4135	521.2728	412.2641	501.4103
ILMN_1714527	486.9914	507.6052	466.3656	914.5594	1605.236
ILMN_1714536	114.2164	114.7996	119.2601	126.6477	125.0675
ILMN_1714539	128.6641	114.9946	117.263	121.8663	118.3181
ILMN_1714563	148.9349	128.733	122.934	125.0094	142.2636
ILMN_1714567	254.7994	258.1966	357.6815	514.1481	606.25
ILMN_1714569	483.8809	577.8846	773.6835	260.0741	232.6446
ILMN_1714577	157.9112	118.1063	128.0376	280.3412	266.0014
ILMN_1714586	135.1849	121.2793	130.2518	124.2131	120.1037
ILMN_1714587	119.5117	122.3125	133.4456	126.437	127.1443
ILMN_1714592	179.2245	153.346	326.9013	356.4102	242.3694
ILMN_1714599	3204.74	3055.005	1837.106	1947.992	2671.213
ILMN_1714600	444.0721	425.3057	379.6496	111.8063	117.5789
ILMN_1714602	146.1224	175.8923	139.8915	141.1667	136.6814
ILMN_1714604	133.7474	123.7225	159.8098	127.9793	147.8296
ILMN_1714622	133.6492	130.0619	125.0484	351.0551	391.2947
ILMN_1714623	3813.057	3708.737	2192.571	4134.107	3346.069
ILMN_1714635	132.1293	115.7067	139.0437	119.1603	127.0282
ILMN_1714643	202.4964	182.2227	171.2031	127.8384	131.7154
ILMN_1714650	140.1752	127.2177	133.781	138.7566	131.8244
ILMN_1714667	179.8311	179.3318	188.3592	145.3745	179.3044
ILMN_1714669	130.6305	117.0561	113.4038	118.4964	122.0608
ILMN_1714691	140.7057	119.5294	117.1302	130.409	142.4415
ILMN_1714696	128.4882	129.6761	117.1116	107.6895	127.5442
ILMN_1714700	1780.778	1456.094	1110.147	616.5975	968.4315
ILMN_1714709	123.8872	117.8045	122.9897	279.8547	290.5703
ILMN_1714710	297.9384	316.4389	431.2704	399.3466	311.767
ILMN_1714711	107.5352	120.2527	113.8888	126.481	114.0289
ILMN_1714717	140.5736	142.7063	139.9928	132.0819	131.4879
ILMN_1714718	133.8971	130.5668	133.2181	156.0233	138.2622
ILMN_1714730	132.9247	117.9452	113.9081	7704.088	6743.707
ILMN_1714737	310.3986	280.9746	253.1962	209.0533	317.3539
ILMN_1714738	139.7833	116.6165	125.256	111.4137	115.4489
ILMN_1714739	315.8458	291.4706	301.8548	138.7015	125.8091
ILMN_1714741	117.0538	121.9465	118.4212	403.7246	323.4711
ILMN_1714749	129.7035	135.3103	163.5708	107.2063	104.5497
ILMN_1714756	489.2942	418.774	248.5831	127.8932	139.1318
ILMN_1714757	183.0709	160.4981	235.2446	124.5608	140.6736
ILMN_1714759	4200.428	2273.56	1992.415	2800.492	1974.95
ILMN_1714765	120.5917	131.5817	132.3689	503.5012	479.9868
ILMN_1714774	141.4509	122.6367	135.2994	126.696	128.6792
ILMN_1714782	130.6268	137.6116	124.39	137.7489	138.0755
ILMN_1714790	125.1414	126.5145	126.8285	98.64478	133.6239
ILMN_1714800	213.1056	185.2873	137.6718	133.1011	129.5738
ILMN_1714805	182.5865	215.752	138.2951	148.7826	168.1853
ILMN_1714808	133.8458	131.4241	115.7348	159.161	147.5099
ILMN_1714809	140.0453	156.1024	136.8464	458.6931	539.0703
ILMN_1714813	123.4967	111.7102	114.4219	131.8234	120.6718
ILMN_1714817	127.5413	111.5457	119.4014	128.676	126.9368
ILMN_1714818	131.3171	134.8211	132.1847	113.4933	108.6563
ILMN_1714820	109.1714	108.7836	103.652	1088.926	2179.943
ILMN_1714821	123.9744	122.934	141.8206	108.1709	129.8667
ILMN_1714831	133.9774	135.6751	125.8748	124.7645	123.4828
ILMN_1714841	128.8185	131.4431	122.9496	109.8715	117.5859
ILMN_1714848	377.4328	306.9479	331.5977	121.0305	119.5383
ILMN_1714850	126.2958	142.4051	123.2622	243.6387	243.1654
ILMN_1714851	142.7708	155.1995	136.4702	123.4547	130.7986
ILMN_1714854	151.834	141.4509	131.9481	164.6645	147.9872
ILMN_1714858	140.5452	147.0387	130.2004	124.9848	128.9575
ILMN_1714859	165.7645	140.0225	175.2224	127.813	133.6608
ILMN_1714861	177.4763	172.3966	279.558	190.4476	173.782
ILMN_1714878	123.494	132.1927	114.9518	124.9308	128.9742
ILMN_1714880	125.1865	117.0963	117.4779	116.0481	112.0438
ILMN_1714882	133.4311	123.0962	187.3638	118.535	128.9838
ILMN_1714884	105.9432	106.4126	115.7804	103.2011	109.0186
ILMN_1714891	143.4252	121.3264	147.9818	128.6132	132.7513
ILMN_1714895	121.3664	111.7151	113.2287	115.1542	129.246
ILMN_1714896	2006.101	2520.766	2394.352	274.0139	237.5986
ILMN_1714915	144.9553	135.3867	140.3502	127.9866	127.4292
ILMN_1714936	111.9658	105.3292	116.797	110.3311	121.1805
ILMN_1714945	157.1337	190.528	182.1708	222.042	212.6359
ILMN_1714952	141.1123	110.3104	120.844	123.3162	132.9258
ILMN_1714955	117.8494	121.3078	134.3737	123.5634	129.2721
ILMN_1714956	127.3178	127.3236	132.4324	145.3232	128.604
ILMN_1714960	212.8353	258.3614	171.1134	151.2513	131.2174
ILMN_1714965	289.2421	289.8485	216.1535	371.0555	452.5768
ILMN_1714980	149.3067	129.9785	110.7047	122.2086	123.1062
ILMN_1714987	127.0821	156.3989	127.3304	112.2688	107.6792
ILMN_1714988	147.2973	125.0025	168.9255	118.0128	114.3818
ILMN_1714990	729.7327	684.2943	510.6453	444.6453	519.9951
ILMN_1715013	165.2714	133.2167	180.9189	145.6771	184.8428
ILMN_1715024	138.3109	182.1259	168.2045	1770.012	1530.816
ILMN_1715045	124.4321	106.7387	122.7607	116.7334	119.7057
ILMN_1715051	111.1721	121.4295	132.237	110.9791	117.3516
ILMN_1715065	135.8545	133.358	209.4451	148.1875	153.3411
ILMN_1715068	115.8484	109.8116	112.3154	115.7471	112.0972
ILMN_1715069	121.8898	144.0919	130.4706	329.2759	303.7211
ILMN_1715075	133.0986	122.1255	127.7548	128.0988	115.9509
ILMN_1715088	121.7535	133.3665	220.7301	146.7004	122.1519
ILMN_1715096	318.9435	309.4161	256.2136	273.8049	232.7323
ILMN_1715101	128.6384	114.6716	129.1504	123.6542	105.8352
ILMN_1715110	160.8121	150.8978	112.3692	137.2276	125.93
ILMN_1715113	894.6976	952.3554	950.5189	1105.528	1125.026
ILMN_1715125	130.9581	119.9675	132.9482	140.7469	128.8782
ILMN_1715131	110.8824	111.0876	132.2106	117.7657	112.071
ILMN_1715133	780.139	784.5726	491.5305	123.5179	131.7862
ILMN_1715157	120.5178	117.6602	129.6845	130.4637	121.8287
ILMN_1715165	140.6945	126.8535	135.6233	117.0441	126.3243
ILMN_1715169	241.5995	331.3102	226.577	188.3151	141.858
ILMN_1715173	32264.13	34866.77	30245.64	676.7253	461.2645
ILMN_1715175	125.0025	118.2317	110.9969	301.4403	341.327
ILMN_1715178	214.3435	265.8636	345.8071	190.2338	161.3303
ILMN_1715179	117.8419	113.6621	133.5742	4183.187	4338.424
ILMN_1715180	160.7751	123.6934	133.4528	144.4867	131.9689
ILMN_1715181	360.9266	278.8007	464.5416	484.1702	297.8972
ILMN_1715185	141.3511	113.6922	116.9643	114.8261	123.7444
ILMN_1715188	115.7857	115.329	102.2384	201.8665	231.9951
ILMN_1715189	144.2648	149.7044	146.49	223.0564	164.3988
ILMN_1715192	122.9452	124.1615	132.5858	112.7096	123.4863
ILMN_1715203	126.0253	121.872	120.2947	135.7021	137.774
ILMN_1715209	111.4274	134.4451	114.23	132.8145	120.1654
ILMN_1715214	527.1978	394.9385	753.317	165.7001	133.4404
ILMN_1715241	117.4156	110.8695	103.2109	108.3692	107.7034
ILMN_1715242	113.5075	133.6711	148.2216	125.3855	124.5119
ILMN_1715255	125.4737	123.7198	120.7786	114.8517	118.2565
ILMN_1715259	114.8351	108.1465	106.2971	117.6322	122.4902
ILMN_1715273	140.0757	125.5205	133.3965	752.1246	1061.365
ILMN_1715301	103.4276	101.8988	112.5085	120.177	111.3534
ILMN_1715305	123.6624	127.6446	115.9667	127.417	111.1633
ILMN_1715309	118.2734	125.3752	112.1928	165.1284	146.0326
ILMN_1715318	126.2984	132.3194	113.8875	157.2449	146.49
ILMN_1715324	1605.734	1674.916	1841.345	607.9187	626.0212
ILMN_1715332	123.1523	123.1257	153.7353	116.4554	118.2171
ILMN_1715351	343.5688	364.5282	326.436	118.8526	117.0152
ILMN_1715372	138.5577	129.8791	139.8053	135.0665	133.684
ILMN_1715374	112.2459	111.8515	111.3282	145.1292	126.1511
ILMN_1715376	131.7889	116.9084	118.0581	121.1553	116.4468
ILMN_1715384	728.4745	803.9907	922.2283	890.5705	883.9089
ILMN_1715390	120.4325	112.3055	123.181	103.0116	115.7372
ILMN_1715392	160.9353	137.025	122.2825	763.4517	951.0637
ILMN_1715393	133.5246	123.4676	121.4857	105.5001	110.8152
ILMN_1715396	184.1164	220.8828	228.7368	126.7518	141.6238
ILMN_1715401	130.644	132.2145	136.7847	1363.29	389.6197
ILMN_1715404	133.584	119.7279	123.1762	126.2949	108.6461
ILMN_1715407	133.4736	118.1687	118.5502	162.9632	194.216
ILMN_1715416	650.6919	640.587	412.4128	674.4542	850.2673
ILMN_1715417	538.5513	815.9042	934.6584	108.4491	117.0995
ILMN_1715424	420.7289	322.2018	512.0653	103.5631	113.5517
ILMN_1715425	102.8582	119.8611	133.3635	123.1312	131.175
ILMN_1715436	141.4751	117.8705	146.5274	127.0037	141.4392
ILMN_1715437	137.4745	121.5463	124.7495	126.4586	134.1296
ILMN_1715439	113.9016	119.3991	118.9957	127.7987	116.7706
ILMN_1715452	127.5636	125.121	138.5859	141.1406	178.4847
ILMN_1715458	128.0341	114.5433	145.9767	226.1673	219.675
ILMN_1715463	140.9185	130.4466	135.7177	132.8214	134.3249
ILMN_1715467	117.4986	109.065	127.4701	182.0984	155.163
ILMN_1715476	120.7815	122.6881	127.0084	1665.928	1079.072
ILMN_1715479	118.6336	118.1479	125.8144	127.5845	135.5741
ILMN_1715482	122.3332	110.8915	108.133	140.9415	161.7907
ILMN_1715496	149.7779	151.2814	176.6971	118.2095	109.8399
ILMN_1715497	131.571	119.9195	137.5302	131.6548	130.0032
ILMN_1715500	133.0839	119.4368	114.5067	130.1087	124.3979
ILMN_1715505	1671.865	1661.433	1878.918	107.659	109.4298
ILMN_1715508	653.203	721.1679	825.7244	162.8387	172.1468
ILMN_1715525	108.3718	119.2516	117.2209	169.3095	169.4069
ILMN_1715526	154.4908	168.67	147.588	111.2961	101.3596
ILMN_1715532	124.9701	158.2299	122.6805	132.0025	141.8936
ILMN_1715536	122.2771	131.6028	117.8798	130.6981	115.0414
ILMN_1715540	152.5808	127.2007	112.7959	319.3778	268.4019
ILMN_1715543	294.9063	190.7127	301.8949	364.7517	309.4627
ILMN_1715546	127.5123	135.7162	126.2642	426.9208	355.7196
ILMN_1715551	116.3841	127.3156	124.0551	126.4966	117.9423
ILMN_1715555	257.2741	201.0637	309.9947	266.0014	221.6952
ILMN_1715567	125.7555	118.4686	115.7857	122.2676	111.7668
ILMN_1715569	429.8697	328.6811	366.2491	426.1154	447.1974
ILMN_1715574	904.0052	854.9167	1038.812	130.9145	164.8595
ILMN_1715583	2924.345	2883.399	4526.692	3868.131	2523.945
ILMN_1715584	319.3778	254.7994	216.2334	124.3852	125.1586
ILMN_1715588	119.4602	109.9443	122.7425	145.1135	132.9219
ILMN_1715589	512.7239	395.2626	292.7329	122.6167	115.6319
ILMN_1715600	146.4315	123.8132	138.4679	119.1711	117.6303
ILMN_1715603	132.7633	107.0925	120.177	164.2926	152.5808
ILMN_1715607	764.3301	622.5029	915.6815	1085.585	843.5056
ILMN_1715612	101.5427	107.4543	127.2397	117.0515	109.7978
ILMN_1715613	153.7733	145.2208	149.5196	147.4386	144.7752
ILMN_1715616	135.9046	144.0064	133.9706	903.7751	698.9741
ILMN_1715625	177.6759	144.524	158.2816	163.8609	180.4976
ILMN_1715635	1943.298	1967.209	2366.221	2692.254	1856.646
ILMN_1715636	2894.746	3480.563	2240.903	2233.716	2716.474
ILMN_1715638	131.538	145.6087	129.2639	148.1031	142.1698
ILMN_1715639	136.3176	118.8243	123.9426	126.2014	115.0469
ILMN_1715644	136.9555	159.2225	157.9393	130.0043	130.7487
ILMN_1715647	919.7421	1374.48	1976.321	1512.355	1744.315
ILMN_1715650	114.777	109.7754	124.6303	130.2089	136.0455
ILMN_1715653	116.1897	108.8813	130.2075	113.9278	119.3306
ILMN_1715654	272.119	284.3446	273.2014	122.6085	155.3275
ILMN_1715659	122.5553	106.7792	103.9575	123.8186	119.6204
ILMN_1715661	185.461	162.7042	137.9099	559.0667	439.7279
ILMN_1715662	98.84794	112.1175	116.3388	119.0814	99.72562
ILMN_1715668	343.3117	393.3313	465.105	117.6341	115.9713
ILMN_1715669	359.0622	429.9575	273.5152	566.8396	430.6563
