	GSM857496	GSM857497	GSM857498	GSM857499	GSM857500
ILMN_1651378	533.1511	587.2827	848.398	685.9898	533.9945
ILMN_1651380	122.7007	119.8892	126.4315	155.2908	118.1377
ILMN_1651385	107.9313	107.2837	107.4273	536.7303	405.9102
ILMN_1651388	120.5908	132.1039	128.276	163.9462	132.9003
ILMN_1651395	133.7882	113.8074	115.0984	125.9113	122.4696
ILMN_1651396	311.1742	314.3473	419.7977	118.3014	128.2976
ILMN_1651403	132.3844	117.4769	148.7646	135.7053	130.1271
ILMN_1651404	135.7053	129.5847	138.7582	124.8347	122.6898
ILMN_1651405	1397.818	1590.81	1882.059	1860.457	2288.851
ILMN_1651408	1516.073	1899.936	1230.754	130.475	120.4547
ILMN_1651415	200.9711	233.6232	366.6337	309.9947	233.4619
ILMN_1651428	119.4566	118.4779	120.2518	115.2155	135.9962
ILMN_1651429	135.5664	124.4477	146.2263	741.6402	555.6187
ILMN_1651430	114.5151	117.5899	108.205	106.6313	110.7213
ILMN_1651433	434.2328	457.6596	255.494	313.9492	436.9878
ILMN_1651435	2463.791	2024.762	1727.802	129.5023	128.2357
ILMN_1651437	115.1423	116.9561	117.2783	122.0467	124.0706
ILMN_1651438	128.2644	107.4688	121.098	915.1299	896.8179
ILMN_1651447	361.4453	383.4388	490.6429	128.6769	122.8228
ILMN_1651453	110.4636	121.4819	128.6237	123.8976	138.2432
ILMN_1651456	128.9321	137.4042	112.7491	118.5838	106.4579
ILMN_1651457	121.7681	116.9242	139.1076	133.5464	116.0456
ILMN_1651464	252.4898	241.5995	292.499	135.9659	144.2272
ILMN_1651466	120.5928	129.4554	121.1256	135.8406	132.8199
ILMN_1651470	114.4178	116.2578	135.9241	131.3986	117.1355
ILMN_1651477	112.8971	124.7876	133.4661	123.3644	116.7186
ILMN_1651486	192.0793	144.6058	119.5403	181.6745	182.4247
ILMN_1651488	111.8894	123.1399	117.2906	131.6116	135.3187
ILMN_1651490	275.2333	123.3192	473.7124	726.5995	746.7853
ILMN_1651492	128.4586	108.4872	109.4129	125.737	129.4053
ILMN_1651495	161.1918	161.9794	158.4432	122.6644	117.6149
ILMN_1651496	296.6971	234.8589	185.1732	291.4284	323.3442
ILMN_1651498	336.0598	288.9358	186.5318	135.707	132.86
ILMN_1651499	142.4832	125.7298	121.0523	134.0728	125.9426
ILMN_1651501	117.0796	112.745	126.3483	112.1244	119.8316
ILMN_1651504	320.2509	315.5235	293.2722	301.6092	317.4066
ILMN_1651506	388.8165	442.2427	544.4622	169.9913	159.3875
ILMN_1651507	118.6224	120.6462	117.5245	127.1978	136.7267
ILMN_1651508	117.9291	112.6414	115.2486	121.7717	130.9861
ILMN_1651513	144.5962	128.4544	122.4741	488.3404	519.4407
ILMN_1651520	113.3964	118.5195	118.0466	138.5764	124.6503
ILMN_1651532	125.3507	123.171	127.4128	121.8823	118.0284
ILMN_1651535	104.1783	126.684	120.6334	135.4267	131.8027
ILMN_1651536	108.378	111.6935	116.9347	116.597	112.8893
ILMN_1651538	577.8846	495.9941	382.0436	218.6012	210.0276
ILMN_1651543	122.9607	123.7207	117.0441	114.2341	124.7699
ILMN_1651544	170.2037	184.8287	170.4238	157.7839	186.1513
ILMN_1651547	114.5774	118.3415	119.5904	122.5058	121.3625
ILMN_1651554	139.7113	160.6161	200.5326	150.4686	172.3208
ILMN_1651557	185.9459	233.7976	204.2441	227.6254	319.0014
ILMN_1651563	810.8316	449.9731	295.5234	135.9726	119.0945
ILMN_1651565	129.9207	125.5815	118.2577	132.6969	137.187
