	GSM1287710	GSM1287711	GSM1287712	GSM1287713	GSM1287714	GSM1287715	GSM1287716	GSM1287717	GSM1287719	GSM1287721	GSM1287723	GSM1287724	GSM1287726	GSM1287728	GSM1287730	GSM1287731	GSM1287732	GSM1287733
hsa-miR-21*	-5.163189165	-5.706483447	-5.44871792	-5.546448863	-5.453212065	-3.695421451	-5.782922166	-4.341858738	-5.207453359	-4.060926528	-4.786344214	-4.996360117	-4.793859789	-5.0971358	-5.299492	-3.76579844	-5.920569464	-5.643954206
hsa-miR-210	NA	-3.856603109	-4.541635834	-4.131216874	-4.705845501	NA	-3.161018631	-3.378441565	-3.347127959	-3.378082467	-3.955460752	-3.821349054	-4.205598572	-3.978350135	-3.635751508	-4.567264637	-3.595151868	-4.230429916
hsa-miR-211	NA	NA	-8.766444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.142744647	-8.668997729	-7.69772114	NA
hsa-miR-212	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-214	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-215	-5.339647099	-5.558856176	-5.313700949	-5.917287755	-5.739578879	-5.254025527	-5.61301923	-5.425068801	-5.559282173	-5.45984599	-5.89839686	-4.81416812	-5.428800877	-5.613558499	-5.949624512	-5.517818105	-5.224970788	-5.980677481
hsa-miR-216a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.555627664	NA	NA	NA	NA	NA
hsa-miR-218	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.212695753	NA	NA	-7.436775748	-8.115996985	NA	NA	NA	NA
hsa-miR-22	-1.220890734	-0.801368356	-0.778149972	-1.718030938	-2.064519665	-1.418282701	-1.012544157	-1.12238059	-0.880596796	-1.775073063	-1.881263212	-2.663805751	-2.921574665	-1.648460697	-1.278403752	-2.174725095	-1.999915048	-2.732802379
hsa-miR-22*	-2.189563275	-1.791195859	-2.463686932	-2.528639126	-2.614973186	-2.310494932	-1.496963724	-2.059695323	-1.98879229	-2.4124591	-2.519372282	-2.973749146	-4.013049906	-2.018892543	-2.622172484	-3.736230845	-2.462948524	-3.071622781
hsa-miR-221	2.618171813	2.969900587	2.669985208	2.934786975	2.517756584	2.489682645	3.303049836	2.758565701	2.559025588	2.407712231	2.656534253	2.270050095	2.205648107	2.622264842	2.735974136	2.071213607	2.221531245	2.069311537
hsa-miR-222	1.554822973	0.995612531	1.920269559	1.968003671	2.976391463	2.545601156	0.886107957	1.529724171	1.392063947	2.313748114	1.787882404	2.419072544	2.796216548	2.186787255	1.233657362	2.207627438	2.452485276	2.442122664
hsa-miR-223	6.862558555	7.145529518	6.837299737	7.199094159	6.967986567	6.85521659	7.064511624	7.049406413	6.997772546	7.445033939	6.872520789	6.684744179	6.783176716	7.183091882	6.900273675	7.142743596	6.744456437	6.389839955
hsa-miR-224	-7.544678192	-7.325089949	-8.693825519	-7.330057982	NA	NA	NA	NA	-7.717275648	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-23a	4.528035244	4.960682363	4.529408752	4.432046353	4.456216738	4.244310502	4.46989203	4.577445641	4.588863391	3.911329611	4.303845395	4.337049663	3.794982746	4.31125427	4.367652384	4.351279291	4.102248519	3.955791976
hsa-miR-23b	4.252256644	4.47564073	4.101555599	4.005969176	3.896387134	3.819350114	4.29947344	4.278496843	4.307520948	3.751949835	3.994588828	3.859846265	3.745582279	3.818885241	3.987771391	3.816057775	3.727471956	3.650370447
hsa-miR-24	3.839656115	4.117703287	4.046853538	4.022169913	4.064168883	3.923805119	4.233135224	4.05162299	3.990835078	3.74660718	3.933334094	3.887558151	3.780728196	4.063140183	3.934483917	3.955980248	3.862143187	3.656151983
