	GSM1287710	GSM1287711	GSM1287712	GSM1287713	GSM1287714	GSM1287715	GSM1287716	GSM1287717	GSM1287719	GSM1287721	GSM1287723	GSM1287724	GSM1287726	GSM1287728	GSM1287730	GSM1287731	GSM1287732	GSM1287733
hsa-miR-381	-7.635820313	-6.594670808	-5.890745954	-8.056462395	NA	NA	-5.449253673	NA	-5.594158499	NA	-7.715273771	NA	NA	NA	-7.262375134	NA	NA	-6.74924015
hsa-miR-382	-2.988545686	-2.767435173	-1.678202316	-3.698101502	-5.673922571	-3.871346121	-1.81181895	-4.562402063	-1.982928062	-4.814520556	-3.35673377	-4.897752026	-5.706483454	-6.716711132	-3.387442922	-5.683495649	-3.386505934	-3.936070482
hsa-miR-409-3p	NA	NA	-0.794751026	-2.606139478	NA	-3.19986083	-0.585636999	-3.92669908	NA	-4.134503293	-2.606580628	-4.649596406	NA	-4.733064405	-2.140553765	NA	-3.049319847	-2.677528512
hsa-miR-410	-3.49396435	-3.49989807	-2.026146688	-4.809450128	-7.43184827	-4.49028427	-2.495865128	-5.982323037	-2.560932567	-5.658563655	-4.91424699	NA	-6.598473589	-6.778702479	-4.027459386	NA	-4.154606021	-4.854991895
hsa-miR-411	-3.596396705	-3.248280981	-3.115989009	-4.593927015	-6.255340239	-4.645245937	-2.232195805	-6.595268801	-2.241779161	-6.662209015	-4.561742967	-5.042270658	-6.227794649	-7.871127168	-4.204673453	-7.106127685	-5.092319949	-4.107606917
hsa-miR-421	-4.462527276	-3.946727514	-4.857281207	-4.478007409	-4.284404107	-4.830975578	-3.864154827	-3.696701362	-4.247412095	-3.803896998	-4.007672632	-3.995574941	-4.538057834	-3.763459174	-4.174440527	-3.876482841	-4.370379719	-4.568599875
hsa-miR-423-3p	1.969207517	2.093046853	1.382776676	2.001542002	2.285624739	1.697432789	2.016008371	1.959569531	1.87639649	2.122857526	1.912120104	1.913494162	2.065790687	1.957079144	1.757955703	1.980845335	1.941836838	1.935223593
hsa-miR-423-5p	-0.827583921	-0.710447673	-0.999630575	-0.976640705	-0.698062016	-0.952436619	-0.865321719	-0.908501351	-0.997236325	-0.774364155	-0.916974227	-0.987929378	-0.592390331	-0.978449762	-1.271779698	-0.7456454	-0.968254186	-0.900058269
hsa-miR-424	0.431378445	0.256193855	-0.42699009	-0.112535017	-0.720849991	1.280185242	0.740046118	0.924917841	-0.315994961	0.550007755	1.227271487	1.454564038	0.976870273	0.35890274	0.833239188	1.565593493	-0.018852707	0.463214995
hsa-miR-425	0.872137054	0.883223529	0.692491803	0.477548411	0.614149852	0.592608797	0.918744865	0.757714685	0.634015057	0.573997755	0.713635148	0.379783572	0.510727271	0.424483649	0.701450745	0.819754028	0.56665114	0.482922266
hsa-miR-425*	-1.855250043	-2.013633043	-1.747915564	-2.286954532	-2.514284015	-2.214705783	-1.684371996	-2.295259669	-2.244876499	-2.036118377	-2.09933066	-1.922198547	-2.492355931	-2.415223426	-1.971119883	-2.020745013	-2.61465349	-2.419797332
hsa-miR-429	NA	NA	-8.447562936	NA	NA	NA	NA	NA	-8.628512985	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-431	NA	-4.739676255	-4.222202801	-5.891744932	NA	-5.344218406	-3.924112455	NA	-3.588402897	-6.662748956	NA	NA	NA	-7.002787658	-5.657412151	NA	NA	-5.587615312
hsa-miR-433	-6.552435523	-6.824512979	-6.63498747	NA	NA	NA	-6.434432647	NA	-5.968218062	NA	NA	NA	NA	NA	NA	NA	-7.616440995	NA
hsa-miR-449a	-8.519609675	-9.40730674	-8.696480318	-8.954500321	NA	NA	-8.881218979	NA	NA	-7.741262785	NA	NA	NA	NA	-7.878658784	NA	NA	-7.478720263
hsa-miR-449b	-7.583841777	NA	NA	-8.736141682	NA	NA	-7.652714299	NA	-7.361638117	NA	NA	NA	NA	NA	-8.294606717	-8.591041812	NA	NA
hsa-miR-450a	-3.735288187	-4.883771373	-4.862829641	-4.603795206	-5.371717081	-3.804316698	-4.049247414	-4.418364459	-5.082336474	-4.556961357	-4.31735355	-2.766314913	-4.395815571	-4.355087198	-3.944418039	-2.78648972	-5.217230526	-4.686551984
hsa-miR-451	-0.334272948	0.399932606	0.332446716	0.787658401	-0.897203738	1.081014591	0.651580745	-0.452991063	-0.161068991	-0.344218289	0.734753876	-0.787052379	0.991354299	1.484695243	0.509647689	-1.044813252	1.200618913	1.002332011
hsa-miR-452	-6.361539995	-3.289051447	-7.333538123	NA	NA	NA	-7.636867806	-8.215890169	-7.305268446	NA	-8.191892248	NA	NA	-6.368605434	-8.36172288	-7.173107883	-6.666284949	NA
hsa-miR-455-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-483-3p	NA	NA	NA	NA	-8.605610749	NA	NA	-8.054307041	NA	NA	NA	NA	NA	NA	NA	-8.126099739	NA	NA
hsa-miR-484	1.55238815	1.919939849	1.272832069	1.770938215	1.3323632	1.170224624	1.901575555	1.758165857	1.744314224	1.71401583	1.236424593	1.202359345	0.978407192	1.532626876	1.651566988	1.283347407	1.263302985	0.973236766
hsa-miR-486-5p	-0.945680091	-0.807696088	-0.901622152	-0.989951598	-1.819221678	-2.007858078	0.106565322	-1.195647022	-0.692311988	-1.827597334	-1.538508832	-2.23056941	-2.170141906	-1.436999782	-1.188020952	-3.065294773	-1.391211051	-1.86220223
hsa-miR-487b	-5.727907528	-5.103144283	-4.347780533	-5.771176552	-8.63793565	-7.139938033	-3.98419148	-7.678729707	-3.758127708	-7.253424239	-6.893336556	-7.934944495	-7.268805059	-8.30892414	-5.911216166	NA	-6.533159292	-7.184603642
hsa-miR-490-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-491-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-491-5p	-4.046506049	-4.12718309	-4.78159216	-4.670577425	-4.506830848	-4.260172706	-4.028031712	-4.182096184	-3.774858352	-3.768313478	-4.493237999	NA	-4.004184604	-4.32150451	-4.848165313	-3.807336676	-4.796176363	-4.540149531
hsa-miR-493	-6.927623773	-5.48574175	-6.531739116	-7.492627066	NA	-6.384466975	-5.879144488	-7.388295106	-4.331692034	NA	-8.315782103	-7.740056476	NA	-7.626571766	-7.767188296	NA	-7.730660606	-6.278723356
hsa-miR-494	NA	-8.662981387	NA	NA	NA	NA	NA	NA	-7.932854001	NA	NA	NA	NA	NA	-9.311276241	NA	NA	NA
hsa-miR-497	-5.111919221	-3.51087918	-4.443042131	-4.495501701	-4.878200206	NA	-4.091633808	-4.453755912	-4.443053229	-4.401975031	-4.083454531	-5.596147137	-5.480807577	-4.112995089	-4.219408189	-4.712392666	-4.541120161	-4.750806244
hsa-miR-499-5p	NA	-8.65445755	NA	NA	-8.212339168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-500	-5.489884346	-5.64167949	-6.54492848	-4.660016845	-4.478008251	-4.387627849	-6.125454403	-4.451930967	-5.695980661	-3.56585282	-4.506656101	-5.054260798	-3.70452742	-4.335559624	-4.449149778	-3.489867408	-5.232747373	-4.287861351
hsa-miR-501-5p	-7.968406341	-6.765270601	-7.429642279	-6.286828752	-6.852660015	NA	-6.69298162	-5.411632988	-7.149661818	-4.455986107	-6.283402874	-4.853938816	-5.402163804	-4.616474726	-5.263023673	-4.746158692	-6.692120504	-5.803203175
hsa-miR-502-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-503	-3.160856883	-3.16471009	-3.833183207	-4.658411887	-4.703440181	-3.354790892	-1.857683461	-3.390547985	-4.272997908	-4.260616803	-3.328752492	-3.597329352	-4.410254825	-3.705800717	-3.573626236	-3.513774881	-4.713656242	-3.228727281
hsa-miR-505	-2.785194431	-2.825741264	-2.578027121	-3.427292536	-2.716746154	-2.641977829	-2.89086554	-2.663238579	-2.794518278	-2.767030859	-2.908225819	-2.898944472	-2.673915047	-2.425431413	-2.605528551	-2.313446068	-2.737279541	-2.761040783
hsa-miR-506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-508-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-509-3-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-509-3p	NA	NA	NA	NA	NA	NA	NA	NA	-9.378458831	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-510	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-514	-7.92789059	-9.595436549	-8.33925448	-8.911974173	-8.583046144	NA	NA	-8.138037146	-8.66898803	-7.30140117	-8.936607349	NA	NA	-8.471793685	-8.24148364	NA	NA	NA
hsa-miR-517c	NA	NA	NA	NA	NA	NA	NA	-8.438495841	NA	NA	NA	NA	NA	NA	NA	-8.872998079	NA	NA
hsa-miR-518a-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.851088957	NA	NA
hsa-miR-518b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-518c	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-518c*	NA	NA	-8.764631299	NA	NA	NA	NA	-7.853008344	NA	NA	NA	NA	NA	NA	NA	NA	-7.864317146	NA
hsa-miR-518f	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.063247115	NA	NA	-8.057793101
hsa-miR-519a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-519d	NA	NA	NA	-8.807071608	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-519e*	NA	NA	NA	NA	-7.980798791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-520c-3p	NA	-9.985011707	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-524-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-525-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-526b*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-532-5p	-3.524791721	-4.189599089	-4.659955984	-3.74881032	-4.298429957	-3.330585939	-4.280115347	-3.27297254	-4.497757592	-3.007254726	-3.76791934	-3.653384038	-3.497125804	-3.526551583	-3.698578174	-2.729910107	-4.26704819	-3.513641648
hsa-miR-539	-7.80780645	-7.574504235	-7.988951788	NA	NA	NA	-7.45828916	NA	-6.127936487	NA	-9.029558484	NA	NA	NA	NA	NA	NA	NA
hsa-miR-542-5p	-5.134875688	-6.309061545	-7.317220645	-6.053781913	-5.742256707	-4.767613565	-6.055329234	-5.421452603	-5.937174342	-5.574041535	-5.790334926	-4.70705118	NA	-5.644952494	-5.230597256	-4.812460141	NA	-4.53137566
hsa-miR-545	-5.472753112	-5.273148283	-6.689877948	-5.737067157	-7.210781439	-5.892998255	-6.676917491	-5.913582451	-6.180544114	-6.828933139	-6.257637521	-6.083003411	NA	-5.475202992	-6.52523064	-7.024196124	-6.705501853	-7.495029361
hsa-miR-548b-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-548c-3p	NA	NA	NA	NA	NA	-8.010661475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-550	-7.710655215	-8.453304068	-7.337610225	-7.547163401	-8.28188731	NA	NA	NA	-8.353362607	-6.858147893	-6.935766286	NA	NA	NA	-9.215456366	NA	NA	-6.226940662
hsa-miR-551b	-0.313740696	NA	0.051098857	0.517157878	1.787418061	1.161009259	-1.414761853	-0.763118467	-0.421233161	0.277445148	0.244325828	0.686642057	1.6040065	0.347277813	-0.354455517	0.460739774	1.069615523	1.303205209
hsa-miR-570	-6.170875749	-8.013424099	NA	-6.730638979	-6.770905034	NA	-6.331033468	-5.397833367	-8.30414219	-5.624951272	-6.286282945	-6.827684694	-6.671077633	-6.747750336	-6.402633943	-6.231441341	-6.765646111	-6.788902102
hsa-miR-572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.634698806	NA	NA	NA	NA	NA	NA
hsa-miR-574-3p	-2.507730135	-2.512705917	-2.21715761	-1.996413826	-2.397479634	-2.005822796	-1.671197217	-2.184937314	-2.017279809	-1.580220704	-2.028731652	NA	NA	-1.620315486	-1.879053135	-1.563960592	NA	NA
hsa-miR-576-3p	NA	-8.746718859	NA	NA	NA	-7.74136649	NA	NA	NA	-6.503171907	-8.050392448	NA	NA	-6.909856306	NA	-8.453463924	NA	-7.475117006
hsa-miR-576-5p	-7.520580249	-7.70632056	NA	-8.17700365	-7.540007722	-7.425257536	-8.5523225	-7.446034537	-7.199573993	-7.244857562	-7.707903291	-7.418911222	NA	-7.089639403	-7.268970645	-7.750695807	-7.777278648	-7.206234719
hsa-miR-582-5p	-3.859920816	-4.962882013	-4.885458253	-3.485465971	-4.060894275	-3.861621129	-5.108491494	-3.100900504	-6.04586214	-2.0566437	-3.296173758	-3.53222761	-2.914040318	-2.746864318	-3.143432264	-1.888520686	-3.474556037	-4.307527468
hsa-miR-584	-3.277339766	-2.607876285	-4.155997487	-3.513105035	-5.300283016	-4.478166015	-2.708492494	-3.438653452	-3.34287614	-4.094297285	-3.844310647	-4.760078061	-5.134281283	-3.698219457	-3.413713275	-5.934393272	-4.14935589	-4.042160108
hsa-miR-589	-5.804665315	NA	NA	NA	NA	NA	-6.540891304	NA	NA	-5.599719921	-5.652638926	NA	NA	-6.979320681	NA	NA	NA	-5.533798046
hsa-miR-590-5p	-0.903605536	-0.270022944	-0.778488296	-0.523393573	-0.686543473	-1.006383453	-0.076662068	-0.709118536	-0.628035096	-0.60989571	-0.759708515	-0.886795877	-0.905850321	-0.681664082	-0.69161433	-0.71880163	-1.354998198	-1.558555258
hsa-miR-595	NA	NA	NA	NA	NA	-2.237016143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.848597318	NA	NA	NA	NA	NA	NA
hsa-miR-598	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-602	-7.28914292	-8.035852129	NA	-7.631211733	NA	-5.342812448	-8.537990446	-6.487911326	NA	NA	NA	-6.142860632	-7.154317984	NA	-6.393820226	-8.413390301	-6.65529161	NA
hsa-miR-608	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-617	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.642602069	NA	NA	NA	NA
hsa-miR-620	NA	-9.834244758	-7.42521506	-6.893494195	-6.955894425	-5.16929967	-6.163924487	-4.949803866	-6.433750934	-5.301332746	-6.583336561	NA	NA	NA	NA	NA	NA	NA
hsa-miR-622	-5.953973263	NA	NA	-6.752316204	NA	NA	NA	NA	NA	NA	NA	NA	-6.393989488	NA	-5.950507106	-5.4679698	NA	NA
hsa-miR-623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.240208936	NA	NA	NA
hsa-miR-625*	-3.362358803	-4.007963886	-3.086213099	-4.744955877	-3.653750119	-6.157311886	-3.734733033	-3.640121545	-3.904168405	-4.635700955	-3.815389076	-5.072515469	-5.881148715	-3.955338255	-3.79012151	-4.693671579	-4.647022966	-5.398477155
hsa-miR-627	-6.394251137	-6.145863729	NA	-5.258226409	-5.827441079	-6.068567873	-5.772294183	-5.431785435	-6.387485164	-5.523271921	-6.322933269	-4.335786187	-4.844314111	-5.569107144	-5.394642875	-4.73218696	-6.016164345	-4.981899703
hsa-miR-628-3p	-4.043098778	-4.433220385	-4.882444758	-4.067007108	-4.61351845	-5.287488792	-4.781006669	-5.205299425	-5.317514708	-4.240786201	-4.452656695	-5.943326286	-5.684483326	-4.996958443	-5.194190664	-5.21129778	-4.993743858	-5.426615528
hsa-miR-629	-6.725120951	-6.107291968	-4.508098127	-5.04428416	-5.25392648	-4.092204483	-5.066392086	-4.346059201	-5.269398811	-4.064759373	-5.308468887	-3.917938068	-3.948531296	-4.008553978	-5.065516504	-3.77173871	-4.694178519	-3.768038426
hsa-miR-631	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-642	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-651	-6.700348814	-6.257305771	-5.878807068	-7.611388578	-6.336318366	-6.734787336	-7.099239116	-6.946513104	-6.68456642	-6.264649679	-5.880746048	-6.138617401	-5.365428759	-6.04225889	-6.909727468	-5.869806712	-6.034894356	-6.605999903
hsa-miR-652	0.159738156	0.353413237	-0.172054154	-0.33327943	-0.715547515	-0.394192821	0.061396321	-0.188658194	-0.035108231	-0.524173567	-0.38880977	-0.628039192	-0.588895518	-0.466444863	-0.116701939	-0.457307664	-0.462097902	-1.107262177
hsa-miR-654-5p	-7.358576215	-6.53111499	-6.060551154	-7.471923373	-7.582787933	NA	-4.528289826	-6.499898977	-6.257957783	NA	-7.081714605	-7.040452463	-6.223837439	NA	-6.008519052	NA	NA	NA
hsa-miR-658	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.328676401	NA	NA	NA	NA	NA	NA	NA
hsa-miR-660	-4.866204695	-5.077323566	-5.316486875	-4.8206101	-5.804081663	-4.682526151	-5.346175699	-3.627714533	-6.243820721	-4.518169868	-4.978275594	-4.978288577	-4.84215588	-4.14893027	-4.700390402	-3.551100833	-4.897834462	-5.743572427
hsa-miR-662	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-663	NA	-5.754128647	-5.597088268	-5.842265391	-5.976673337	NA	-5.76643816	NA	-5.912359123	NA	-6.228908838	-5.032194143	-4.767432848	-5.932393085	NA	NA	-4.917672841	NA
hsa-miR-668	-7.484579033	NA	-7.396264054	NA	NA	NA	-8.188983286	NA	-7.771864043	NA	NA	NA	NA	NA	-7.789165021	NA	-7.757897186	-6.752053973
hsa-miR-671-5p	-5.662920838	NA	NA	-5.582624006	-4.905373794	NA	NA	-5.03752307	NA	NA	-5.03887203	-5.409920337	NA	NA	-5.423934604	NA	-7.160223131	-5.665960025
hsa-miR-7	-6.041032247	-7.432460521	-5.962444942	-7.83829641	-7.217619704	-4.897262853	-6.481126959	-5.710388249	-6.290583279	-5.758757355	-6.412009956	-6.8327126	-6.183405815	-5.767472772	-6.144652204	-6.533360798	-6.425909405	-5.511143811
hsa-miR-708	NA	-9.044619322	NA	-8.965316742	NA	-8.030813166	-7.832005554	-6.50272381	NA	-5.650183105	-4.878341491	-7.808035024	NA	-7.897005673	-4.475612944	-7.812229808	NA	NA
hsa-miR-720	2.700994796	3.092648355	2.659091371	2.488300533	3.019983442	3.463677635	3.916460448	3.365605776	2.2014965	3.877846367	2.942105414	3.174913529	4.159823277	3.552751756	4.621824419	3.383636833	3.608804343	3.704799636
hsa-miR-744	-3.460236543	-3.335004495	-4.400910315	-4.18197197	-4.475826675	-4.607056813	-3.639304908	-4.003789849	-3.970818886	-4.494206093	-4.357988147	-4.296837176	-4.550612344	-4.50117239	-3.988683229	-4.164452562	-4.479582098	-4.877907038
hsa-miR-760	NA	-8.868086757	NA	-6.793637787	-7.363148418	NA	NA	NA	NA	-6.797715659	NA	NA	NA	NA	NA	NA	-7.169543809	NA
hsa-miR-765	NA	NA	NA	NA	NA	NA	-8.786628346	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-766	-1.1604528	-0.888348056	-1.114472112	-1.063699124	-0.699179775	-1.382353692	-0.805550511	-1.352703654	-1.223958661	-1.150920586	-1.148305018	-0.841899774	-1.473376724	-0.923291979	-1.33027752	-1.590324628	-0.920776735	-1.094052385
hsa-miR-873	NA	NA	NA	NA	NA	-7.856151543	NA	-7.672686695	NA	NA	NA	-7.387253518	NA	NA	NA	-8.303749167	NA	NA
hsa-miR-877	NA	-6.626210121	-7.388311652	NA	-5.766639732	NA	-5.763507856	-5.740536451	-5.512233167	-5.436404396	-6.147755888	-5.426695018	-6.643839933	NA	NA	NA	-5.37453268	-5.917788779
hsa-miR-885-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-886-3p	NA	-7.612577858	NA	-7.998670622	NA	-7.412941767	-6.696952858	NA	-7.610889139	-5.353912346	NA	NA	NA	-7.438494091	-7.76782862	NA	-7.6232941	-7.261729423
hsa-miR-886-5p	NA	-5.522586193	NA	NA	NA	NA	-5.025103654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-887	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-888	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-9	-6.454847453	-5.967692029	-6.474784225	-5.705131026	-6.2398845	NA	-4.067564909	-5.571345161	-5.984036344	-4.98239733	-6.14522585	-7.792663309	-7.590184249	-6.678120831	-5.952074032	-6.358628341	-6.026114513	-7.020828735
hsa-miR-9*	NA	NA	NA	NA	NA	NA	-7.913822168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-92a	4.266066123	3.814388679	4.104916075	4.107141533	5.301217034	4.359868065	3.757843946	4.026837625	3.846310138	4.513794455	4.351771753	4.899285177	5.243010048	4.501979294	4.087049508	4.981129477	4.599266846	5.022654322
hsa-miR-92a-1*	-3.948904057	-5.63041421	-5.989193306	-4.803010476	-3.024829077	-4.369549669	-6.673921928	-4.029867459	-5.014835038	-3.749057348	-3.911974603	-2.852433749	-2.939913881	-4.628820618	-5.388989245	-3.32667235	-4.123156487	-2.990666835
hsa-miR-92b	-4.697551839	-5.152685606	-5.476348081	-4.25959451	-3.909472049	-3.866726857	-4.798626603	-3.86235445	-5.14820419	-4.999582319	-4.099102202	-3.560124612	-3.233319583	-4.808934855	-4.863216583	-3.13286759	-3.484918737	-4.291744792
hsa-miR-93	2.690863627	2.669178691	2.483937311	2.731381876	3.239655229	2.839446368	2.464367538	2.711387494	2.488328278	3.021789314	2.818429536	3.083490076	3.162751393	2.911039073	2.666986404	3.041452462	2.754636038	3.012711261
hsa-miR-933	NA	NA	NA	-8.892139593	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-934	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-936	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-940	-1.146278832	NA	-1.198052796	NA	NA	NA	NA	NA	NA	NA	-1.269900495	NA	NA	NA	NA	NA	-1.479045891	-0.793905563
hsa-miR-95	NA	-7.430640207	-6.955955945	NA	-8.593562263	-6.82476785	-7.929097744	-5.757325913	-6.705767768	NA	-8.775659291	-5.819154809	NA	-6.960559756	NA	-6.529324538	-6.105872323	-6.841436597
hsa-miR-96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.234464638	NA	NA	NA
hsa-miR-98	-4.502053914	-4.546415792	-4.599822465	-5.303230479	-4.725112682	-4.95247335	-4.446933315	-4.54890121	-4.398080603	-4.917563936	-4.55891174	-4.919427168	-4.97882994	-4.705467549	-4.470572852	-5.059099589	-5.09671385	-5.503864107
hsa-miR-99a	-0.815469522	-1.913177656	-0.742193583	-0.232434807	1.126836452	0.36630915	-1.912411122	-1.207243148	-1.11869744	-0.509027802	-0.174748255	0.532054318	1.085014165	-0.329287221	-0.939860427	0.053056118	0.416088723	0.573345899
hsa-miR-99a*	-4.957135133	-6.27619163	-5.19525519	-5.568720251	-3.650496614	-5.612347869	-7.255532705	-6.632076662	-6.058355344	-4.267595817	-4.851335133	-4.802265206	-4.171671063	-5.533624442	-6.611039913	-6.000312476	-5.047936033	-4.53856044
hsa-miR-99b	-0.868785377	-1.100467054	-1.175649616	-0.950465174	-1.113766888	-1.508311341	-0.286387682	-1.485991313	-1.230456775	-1.555937007	-0.668664429	-0.93429441	-1.404167394	-1.358391012	-0.602973815	-1.730406283	-1.099186451	-2.094273899
SNORD38B	6.470300241	5.808931569	6.600454188	6.82167163	6.789843506	6.516771535	5.958437487	6.674047314	6.131759187	7.114074105	6.267309168	7.113091673	6.515307596	6.116918741	6.555897822	6.361517966	6.652129512	6.25526155
SNORD49A	NA	NA	NA	5.428114654	6.195813048	5.765927283	NA	5.451233061	NA	5.57181896	NA	5.991233445	5.634996336	NA	5.086455334	NA	5.648304264	NA
U6	NA	NA	NA	4.396869643	6.367132784	7.043066379	NA	4.908797705	NA	4.34697957	NA	4.040148577	NA	NA	2.737424043	NA	4.261415544	NA
