	ID	miRNA_ID	SPOT_ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
hsa-miR-107	hsa-miR-107	hsa-miR-107		3.13874094811111	3.13874094811111	39.0563357976685	4.73068767211891e-20	3.52883729055357e-19	36.185807597814296
hsa-miR-92a	hsa-miR-92a	hsa-miR-92a		4.43247389433334	4.43247389433333	38.8888361396224	5.1409201822294805e-20	3.7339315007772e-19	36.1031968836754
hsa-miR-200c	hsa-miR-200c	hsa-miR-200c		-4.06503687261111	-4.06503687261111	-38.547442477299704	6.09712417437787e-20	4.3148878772520293e-19	35.933624521809
hsa-miR-30c	hsa-miR-30c	hsa-miR-30c		2.42816376576471	2.42816376576471	41.9061273958996	7.29486895556394e-20	4.91069227252597e-19	35.7800568930235
hsa-miR-301b	hsa-miR-301b	hsa-miR-301b		-4.100339051000001	-4.100339051000001	-38.2265758936807	7.1670489344509e-20	4.91069227252597e-19	35.7727642222575
hsa-miR-545	hsa-miR-545	hsa-miR-545		-6.320141487705881	-6.320141487705881	-41.802030315996795	7.63649327059545e-20	5.018267006391289e-19	35.7351626171852
hsa-miR-141	hsa-miR-141	hsa-miR-141		-4.95792079827778	-4.95792079827778	-36.2908291065515	1.95669155635326e-19	1.25592295245e-18	34.7704913482748
hsa-miR-29b-2*	hsa-miR-29b-2*	hsa-miR-29b-2*		-4.465807490611111	-4.465807490611111	-36.0015878435334	2.28367154284934e-19	1.43248487687822e-18	34.615841109601604
hsa-miR-627	hsa-miR-627	hsa-miR-627		-5.58860126611765	-5.58860126611765	-38.7073888407142	3.14091840976541e-19	1.9264299579894498e-18	34.3408806085109
hsa-miR-32	hsa-miR-32	hsa-miR-32		-4.880090386166669	-4.880090386166669	-35.3123288322388	3.3166092364386195e-19	1.98996554186317e-18	34.2419303298763
hsa-miR-362-5p	hsa-miR-362-5p	hsa-miR-362-5p		-7.70396353826666	-7.703963538266669	-47.3270767317104	3.9019327130395996e-19	2.2913477208487897e-18	34.1035672843516
hsa-miR-192	hsa-miR-192	hsa-miR-192		-3.5113152019444502	-3.51131520194444	-34.042642257495196	6.72090429593922e-19	3.8645199701650494e-18	33.532512553551896
hsa-miR-423-3p	hsa-miR-423-3p	hsa-miR-423-3p		1.9371560033333302	1.9371560033333302	33.8069653021646	7.683880096770729e-19	4.3280630749157594e-18	33.397772483646804
hsa-miR-497	hsa-miR-497	hsa-miR-497		-4.54865247135294	-4.54865247135294	-36.674620673704794	8.45600217897042e-19	4.6677132027916694e-18	33.3568715669523
hsa-miR-1979	hsa-miR-1979	hsa-miR-1979		3.9564821755	3.9564821755	33.009435584204	1.21708619429423e-18	6.58658411029821e-18	32.9344076241943
hsa-miR-21*	hsa-miR-21*	hsa-miR-21*		-5.03945265177778	-5.03945265177778	-32.6613418124315	1.49268316704221e-18	7.9227029635317e-18	32.728489521992195
