#  The average normalized Cp of the samples in a control or test group.				
# reports the average normalized Cp of the samples in control or test group.

ID_REF	AVERAGE SAMPLE 1-4	AVERAGE SAMPLE 5-9	AVERAGE SAMPLE 10-13	AVERAGE SAMPLE 14-18
design_target_name	Healthy-control	sCAD	STEMI d0	STEMI d5
hsa-miR-423-5p	-0.878575718	-0.884311606	-0.817914523	-0.972837463
hsa-miR-339-5p	-0.733118494	-1.094374336	-0.948579444	-0.87094646
hsa-miR-145	-0.648518677	-0.588053138	-1.400643408	-1.373782764
hsa-miR-590-5p	-0.618877587	-0.621348525	-0.790562606	-1.0011267
hsa-miR-181b	-1.919265706	-1.475244277	-0.310850622	-0.603869301
hsa-miR-766	-1.056743023	-1.092749259	-1.153625526	-1.171744649
hsa-miR-378	-1.646542395	-1.160204858	-0.710344467	-0.790688349
hsa-miR-18a	-0.839127593	-0.94198681	-1.087866787	-1.108329343
hsa-miR-335	-0.960285988	-1.169370431	-0.990531681	-1.266365746
hsa-miR-99b	-1.023841805	-1.1249828	-1.14076581	-1.377046292
hsa-miR-326	-0.670969352	-0.97289705	-1.595059754	-1.570138347
hsa-miR-140-5p	-1.352936124	-1.292573503	-0.979975282	-1.049049468
hsa-miR-328	-1.21498636	-1.327454789	-1.363567329	-1.477780558
hsa-let-7e	-1.375883352	-1.332787346	-1.429652725	-1.282446216
hsa-miR-486-5p	-0.911237482	-1.121694689	-1.94170437	-1.788745758
hsa-miR-29b	-1.057418053	-1.131607847	-1.378422139	-1.748606
hsa-miR-30e*	-1.462872272	-1.601179482	-1.419329358	-1.46559779
hsa-miR-30a	-1.474299437	-1.539493153	-1.928519165	-1.43574496
hsa-miR-22	-1.12961	-1.299664782	-2.310429173	-1.966861394
hsa-miR-301a	-1.307058145	-1.667851856	-1.761028253	-1.661813966
hsa-miR-146b-5p	-2.363727993	-1.923890173	-1.477223168	-1.447562722
hsa-miR-363	-2.643455987	-2.329327706	-1.975700337	-1.853379904
hsa-miR-425*	-1.975938296	-2.190699592	-2.137500879	-2.288307829
hsa-miR-10b	-3.013798413	-2.843580756	-1.821737426	-1.693654503
hsa-miR-376a	-1.1050962	-2.137924399	-3.178303522	-2.86701436
hsa-miR-152	-1.676735591	-2.007824182	-2.831504403	-2.640518433
hsa-miR-133a	-2.077718772	-2.092456637	-3.008156751	-2.550102212
hsa-miR-361-3p	-2.472740127	-2.36916936	-2.24364248	-2.440510221
hsa-miR-22*	-2.243271298	-2.094183891	-2.979657609	-2.782373436
hsa-miR-181c	-2.932550277	-2.840690283	-2.198895935	-2.184868426
hsa-miR-376c	-1.4967462	-2.336313525	-3.541788847	-3.298912343
hsa-miR-505	-2.904063838	-2.741469276	-2.812029049	-2.568545271
hsa-miR-34a	-3.728164862	-2.927828982	-2.553767874	-2.241719304
hsa-miR-18a*	-3.620937515	-3.025452413	-2.61703	-2.693919533
hsa-miR-199b-5p	-3.529140028	-3.027282919	-2.676100892	-2.458013002
hsa-miR-127-3p	-2.546853184	-2.876831191	-4.095084874	-3.715315221
hsa-miR-181a*	-4.0559282	-3.615211491	-2.57294906	-3.202743152
hsa-miR-1	-3.138667818	-2.910176129	-4.261630598	-4.067726663
hsa-miR-503	-3.704290517	-3.515892085	-3.899238368	-3.747117072
hsa-miR-133b	-3.579537859	-3.385530618	-4.339974089	-3.945583463
hsa-miR-195	-3.656558148	-3.904260675	-3.644720799	-3.775929746
hsa-miR-154	-2.580469024	-3.507076328	-4.764118275	-4.29059721
hsa-miR-382	-2.783071169	-3.580483553	-4.693872452	-4.622045224
hsa-miR-532-5p	-4.030789278	-3.935972275	-3.481420977	-3.54714594
hsa-miR-582-5p	-4.298431763	-4.435553908	-2.949771347	-3.112180155
hsa-miR-584	-3.388579643	-3.853694223	-4.458241819	-4.2475684
hsa-miR-365	-4.604653675	-4.44062237	-3.53206916	-3.413938314
hsa-miR-200c	-3.914396204	-3.976792362	-4.446584979	-3.968555433
hsa-miR-130b	-3.968454847	-4.125389259	-4.088858511	-4.127681795
hsa-miR-744	-3.844530831	-4.139359426	-4.42491094	-4.402359463
hsa-miR-92a-1*	-5.092880512	-4.622600634	-3.363344895	-4.091661107
hsa-miR-92b	-4.896545009	-4.31707683	-3.973032179	-4.116336511
hsa-miR-421	-4.436135852	-4.184729594	-4.086300601	-4.150672427
hsa-miR-625*	-3.800372916	-4.218016998	-4.851188554	-4.496926293
hsa-miR-296-5p	-4.554906107	-4.712414064	-4.234834798	-4.367729768
hsa-miR-629	-5.596198802	-4.805596212	-4.309924406	-4.261605227
hsa-miR-500	-5.584127291	-5.027800426	-4.207824285	-4.359037107
hsa-miR-411	-3.638648428	-4.393965988	-5.623504322	-5.676371034
hsa-miR-330-3p	-4.741850594	-5.184828978	-5.395305856	-4.982355769
hsa-miR-99a*	-5.499325551	-5.841761839	-4.523216805	-5.546294661
hsa-miR-30b	3.778858298	3.726595744	3.808354719	3.71804341
hsa-miR-30c	2.509723435	2.363678462	2.517323197	2.373905676
hsa-miR-30d	1.057333969	0.632121585	0.786689725	0.870021878
hsa-miR-551b	0.08483868	0.069862768	0.703104883	0.56527656
hsa-miR-10a	-0.700440326	-0.454142809	0.340134864	0.288980481
hsa-miR-324-5p	-0.777162924	-0.931701701	-0.92579303	-0.965333854
hsa-miR-324-3p	-1.502173654	-1.228168469	-1.154688253	-1.350061711
hsa-miR-139-5p	-1.325094484	-0.968777254	-1.684233529	-1.782747042
hsa-miR-143	-1.354969439	-1.569888882	-1.99831782	-2.046159834
hsa-miR-192	-3.650528299	-3.778557364	-3.264545627	-3.330118222
hsa-miR-301b	-4.017420605	-4.268641693	-3.864379733	-4.18713862
hsa-miR-491-5p	-4.406464681	-4.15039796	-4.088578694	-4.462666478
hsa-miR-376b	-2.844265548	-3.870169018	-5.24448193	-5.086848876
hsa-miR-370	-3.419585393	-4.076089281	-4.433211255	-5.293319912
hsa-miR-340	-3.730802206	-3.985522622	-4.858923894	-4.71594408
hsa-miR-450a	-4.521421102	-4.545196425	-4.009111347	-4.197955493
hsa-miR-29b-2*	-4.386751373	-4.476663843	-4.01689987	-4.877322129
hsa-miR-497	-4.390335558	-4.466660788	-4.890596069	-4.46734447
hsa-miR-98	-4.737880662	-4.614300232	-4.843683196	-4.967143589
hsa-miR-32	-4.97962245	-4.654295008	-4.599423584	-5.250793555
hsa-miR-660	-5.020156309	-5.140863754	-4.82922248	-4.608365679
hsa-miR-141	-4.782644735	-4.730036545	-5.242690021	-5.098210524
hsa-miR-628-3p	-4.356442757	-5.040965609	-5.080313127	-5.164561255
hsa-miR-21*	-5.466209849	-4.896173556	-4.659372662	-5.145389982
hsa-miR-196a	-5.69425122	-6.205726162	-4.516274094	-4.965014743
hsa-miR-299-5p	-4.548420891	-4.596184464	-6.460779678	-6.003453986
hsa-miR-194	-5.483006045	-5.415944777	-5.357203202	-5.26722009
hsa-miR-215	-5.532372995	-5.518194922	-5.400302962	-5.657329877
hsa-miR-377	-4.198823625	-5.470798269	-6.885691587	-6.011767149
hsa-miR-627	-5.932780425	-5.897514747	-5.256576372	-5.338800205
hsa-miR-153	-4.930526428	-5.497514657	-5.908610227	-5.913008572
hsa-miR-7	-6.81855853	-6.119396209	-6.296721432	-6.076507798
hsa-miR-651	-6.611962558	-6.760284868	-5.912360472	-6.292537466
hsa-miR-200a	-7.400792133	-6.797037179	-6.986021519	-6.306243958
hsa-miR-148a	-1.695562839	-1.640279055	-2.577956709	-2.233361204
hsa-miR-410	-3.457364809	-4.592250655	-5.723761411	-4.953939945
hsa-miR-542-5p	-6.203734948	-5.58476529	-5.357142547	-5.054846388
