# The difference in normalized Cps (??Cp) between two sample groups.			
# reports the difference in normalized Cps (??Cp) between two sample groups.

ID_REF	(Avereage Sampe 5-9)-(Average Sample 1-4) 	(Avereage Sampe 10-13)-(Average Sample 1-4) 	(Avereage Sampe 14-18)-(Average Sample 1-4) 
hsa-miR-30a	-0.065193716	-0.454219727	0.038554477
hsa-miR-22	-0.170054782	-1.180819172	-0.837251394
hsa-miR-301a	-0.360793712	-0.453970109	-0.354755821
hsa-miR-146b-5p	0.43983782	0.886504825	0.91616527
hsa-miR-363	0.314128281	0.66775565	0.790076083
hsa-miR-425*	-0.214761297	-0.161562583	-0.312369533
hsa-miR-10b	0.170217658	1.192060987	1.32014391
hsa-miR-376a	-1.032828199	-2.073207322	-1.76191816
hsa-miR-152	-0.331088591	-1.154768813	-0.963782842
hsa-miR-133a	-0.014737865	-0.930437979	-0.47238344
hsa-miR-361-3p	0.103570767	0.229097647	0.032229906
hsa-miR-22*	0.149087407	-0.736386311	-0.539102138
hsa-miR-181c	0.091859994	0.733654342	0.74768185
hsa-miR-376c	-0.839567325	-2.045042647	-1.802166143
hsa-miR-505	0.162594562	0.092034789	0.335518567
hsa-miR-34a	0.800335879	1.174396988	1.486445558
hsa-miR-18a*	0.595485102	1.003907515	0.927017982
hsa-miR-199b-5p	0.501857109	0.853039136	1.071127026
hsa-miR-127-3p	-0.329978007	-1.54823169	-1.168462037
hsa-miR-181a*	0.440716709	1.48297914	0.853185048
hsa-miR-1	0.228491688	-1.12296278	-0.929058845
hsa-miR-503	0.188398431	-0.194947851	-0.042826555
hsa-miR-133b	0.194007241	-0.760436231	-0.366045605
hsa-miR-195	-0.247702527	0.011837349	-0.119371599
hsa-miR-154	-0.926607303	-2.183649251	-1.710128186
hsa-miR-382	-0.797412384	-1.910801282	-1.838974055
hsa-miR-532-5p	0.094817003	0.549368301	0.483643338
hsa-miR-582-5p	-0.137122145	1.348660417	1.186251608
hsa-miR-584	-0.46511458	-1.069662176	-0.858988757
hsa-miR-365	0.164031305	1.072584515	1.190715361
hsa-miR-200c	-0.062396158	-0.532188775	-0.054159229
hsa-miR-130b	-0.156934412	-0.120403663	-0.159226947
hsa-miR-744	-0.294828595	-0.580380109	-0.557828633
hsa-miR-92a-1*	0.470279878	1.729535617	1.001219405
hsa-miR-92b	0.579468179	0.92351283	0.780208498
hsa-miR-421	0.251406258	0.349835251	0.285463425
hsa-miR-625*	-0.417644082	-1.050815637	-0.696553377
hsa-miR-296-5p	-0.157507957	0.320071309	0.187176339
hsa-miR-629	0.790602589	1.286274396	1.334593574
hsa-miR-500	0.556326865	1.376303006	1.225090184
hsa-miR-411	-0.755317561	-1.984855895	-2.037722607
hsa-miR-330-3p	-0.442978384	-0.653455261	-0.240505175
hsa-miR-99a*	-0.342436288	0.976108746	-0.04696911
hsa-miR-30b	-0.052262554	0.029496421	-0.060814888
hsa-miR-30c	-0.146044973	0.007599762	-0.13581776
hsa-miR-30d	-0.425212383	-0.270644244	-0.18731209
hsa-miR-551b	-0.014975912	0.618266204	0.480437881
hsa-miR-10a	0.246297517	1.04057519	0.989420808
hsa-miR-324-5p	-0.154538777	-0.148630106	-0.18817093
hsa-miR-324-3p	0.274005185	0.347485401	0.152111944
hsa-miR-139-5p	0.35631723	-0.359139045	-0.457652558
hsa-miR-143	-0.214919444	-0.643348382	-0.691190395
hsa-miR-192	-0.128029064	0.385982672	0.320410077
hsa-miR-301b	-0.251221087	0.153040872	-0.169718014
hsa-miR-491-5p	0.256066721	0.317885987	-0.056201798
hsa-miR-376b	-1.025903471	-2.400216382	-2.242583328
hsa-miR-370	-0.656503889	-1.013625862	-1.87373452
hsa-miR-340	-0.254720416	-1.128121688	-0.985141874
hsa-miR-450a	-0.023775324	0.512309754	0.323465608
hsa-miR-29b-2*	-0.089912469	0.369851503	-0.490570756
hsa-miR-497	-0.07632523	-0.500260511	-0.077008911
hsa-miR-98	0.12358043	-0.105802534	-0.229262927
hsa-miR-32	0.325327442	0.380198866	-0.271171105
hsa-miR-660	-0.120707445	0.190933829	0.41179063
hsa-miR-141	0.052608189	-0.460045286	-0.31556579
hsa-miR-628-3p	-0.684522852	-0.72387037	-0.808118497
hsa-miR-21*	0.570036293	0.806837187	0.320819867
hsa-miR-196a	-0.511474943	1.177977126	0.729236477
hsa-miR-299-5p	-0.047763573	-1.912358787	-1.455033095
hsa-miR-194	0.067061268	0.125802843	0.215785955
hsa-miR-215	0.014178073	0.132070033	-0.124956882
hsa-miR-377	-1.271974644	-2.686867962	-1.812943524
hsa-miR-627	0.035265678	0.676204053	0.59398022
hsa-miR-153	-0.566988229	-0.978083799	-0.982482144
hsa-miR-7	0.699162321	0.521837098	0.742050732
hsa-miR-651	-0.14832231	0.699602086	0.319425092
hsa-miR-200a	0.603754953	0.414770614	1.094548175
hsa-miR-148a	0.055283784	-0.88239387	-0.537798365
hsa-miR-410	-1.134885846	-2.266396602	-1.496575136
hsa-miR-542-5p	0.618969658	0.846592401	1.14888856
hsa-miR-182	-0.515076855	-1.161400652	-0.839367468
hsa-miR-501-5p	0.585802883	1.863664093	1.688340839
hsa-miR-9	0.684905955	-0.477004001	-0.256539607
hsa-miR-545	-0.581753125	-0.596646398	-0.851820569
hsa-miR-487b	-1.002282292	-2.100125363	-1.746973586
hsa-miR-135a	-0.097633827	0.083686754	0.475412837
hsa-miR-200b	2.14167E-05	0.328122407	0.92618008
hsa-miR-151-3p	-0.330552839	-0.800243317	-0.929772456
hsa-miR-210	0.528376859	0.336362561	0.175095659
hsa-miR-132	-0.185489326	-0.183286326	-0.268674308
hsa-miR-193b	-0.644703734	-0.835775557	0.711569248
hsa-miR-570	0.270667761	0.61914714	0.38437151
hsa-miR-20b*	0.326064894	1.493164968	0.987317977
hsa-miR-576-5p	0.168662229	0.344077461	0.382737642
hsa-miR-27a	0.178955584	-0.135698403	-0.064605631
hsa-miR-329	-0.184502968	-2.047832142	-1.452205922
hsa-miR-369-5p	-0.092799351	-1.425943196	-1.679436644
hsa-miR-493	0.613533275	-1.418486363	-0.74135308
hsa-miR-374b*	0.167929333	0.473531892	-0.278607773
hsa-miR-362-5p	0.455762062	0.84808571	1.202972791
hsa-miR-26a	0.340004643	0.343608409	-0.054572859
hsa-miR-33a	0.077894101	-0.541096813	-0.836296607
hsa-miR-574-3p	0.253158518	0.504025694	0.620725468
hsa-miR-409-3p	-0.870287051	-2.09644819	-1.44967138
hsa-miR-379	0.248267651	-0.991991055	-0.714628027
hsa-miR-654-5p	0.638307803	0.073539931	0.847022381
hsa-miR-323-3p	0.465930208	-1.053303792	-1.294091423
hsa-miR-95	0.031193768	-0.104108974	0.583999773
hsa-miR-124	1.437717993	1.53319764	1.153625161
hsa-miR-877	1.311531585	1.093587078	1.361100157
hsa-miR-100	-0.760120526	1.026520532	1.019709921
hsa-miR-602	0.862497521	1.003479619	0.497901548
hsa-miR-193a-3p	1.434099047	1.454797899	1.273120955
hsa-miR-188-5p	-0.331511964	0.567917755	0.553276982
hsa-miR-514	0.230281841	0.574634688	0.337000285
hsa-miR-27b	0.054444251	-0.438792957	-0.665275367
hsa-miR-431	0.665630077	-1.711540961	-1.131397045
hsa-miR-663	-0.153996105	0.388315492	0.306127805
hsa-miR-452	-2.057965619	-2.530515726	-1.481053765
hsa-miR-708	1.549787189	2.892781492	2.276685224
hsa-miR-886-3p	0.565362985	2.451711894	0.282787681
SNORD49A	0.37620981	0.30456826	-0.060734855
U6	1.709462647	-0.203305569	-0.897449849
hsa-miR-671-5p	0.65132399	0.398376238	-0.460600165
hsa-miR-620	2.116449995	2.108650018	#DIV/0!
hsa-miR-381	1.522718782	-0.670848903	0.038617226
hsa-miR-337-5p	1.94597178	-0.300831921	-0.295248035
hsa-miR-550	-0.555441731	0.865226138	0.040984714
hsa-miR-187	-0.792460454	#DIV/0!	-0.012211234
hsa-miR-138	0.77876876	0.433227054	0.466563735
hsa-miR-34c-5p	1.592543129	0.835941145	-0.10629172
hsa-miR-128	0.215767841	-0.086767857	-0.135672946
hsa-miR-154*	-0.714375186	-1.509262225	-1.249588166
hsa-miR-204	-0.39287865	1.499895849	-0.15929245
hsa-miR-361-5p	1.040401799	1.693477561	0.952397538
hsa-miR-193a-5p	1.078366076	0.609627134	1.239529909
hsa-miR-127-5p	1.560168827	-0.593138214	-0.886928077
hsa-miR-433	0.46931997	#DIV/0!	-0.94579567
hsa-miR-373*	1.221408357	0.775337876	-0.22028684
hsa-miR-576-3p	1.005352369	1.469936681	1.133906447
hsa-miR-449a	0.013255284	1.153211479	1.21578474
hsa-miR-539	0.997308001	-1.239137659	#DIV/0!
hsa-miR-668	-0.540002121	#DIV/0!	0.007382817
hsa-miR-149	1.567699273	2.398575807	0.989084044
hsa-miR-26a-2*	0.289655326	0.666022376	0.010334968
hsa-miR-31*	#DIV/0!	-0.401164806	-0.287204818
hsa-miR-589	-0.736225989	0.178485892	-0.451894048
hsa-miR-337-3p	2.500680134	1.578007011	1.133964547
hsa-miR-760	0.467713854	1.033146613	0.661318463
hsa-miR-449b	0.652815522	#DIV/0!	-0.282832534
hsa-miR-940	#DIV/0!	-0.09773468	0.035690087
hsa-miR-622	#DIV/0!	-0.040844754	0.643906281
hsa-miR-31	-1.028038026	0.452241014	0.860034509
hsa-miR-224	0.006137262	#DIV/0!	#DIV/0!
hsa-miR-147b	#DIV/0!	#DIV/0!	0.582072329
hsa-miR-211	#DIV/0!	#DIV/0!	0.596622828
hsa-miR-873	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-205	-0.116564753	#DIV/0!	#DIV/0!
hsa-miR-494	0.730127385	#DIV/0!	-0.648294855
hsa-miR-363*	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-218	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-483-3p	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-518c*	0.911622955	#DIV/0!	0.900314152
hsa-miR-886-5p	0.497482539	#DIV/0!	#DIV/0!
hsa-miR-499-5p	0.442118382	#DIV/0!	#DIV/0!
hsa-miR-429	-0.180950049	#DIV/0!	#DIV/0!
hsa-miR-299-3p	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-518f	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-520c-3p	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-517c	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-595	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-96	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-9*	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-519e*	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-658	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-572	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-617	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-765	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-519d	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-548c-3p	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-217	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-596	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-375	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-623	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-933	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-509-3p	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-518a-3p	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-122	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-129-5p	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-134	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-135b	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-137	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-147	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-185*	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-212	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-214	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-216a	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-298	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-302a	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-302d	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-302d*	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-346	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-34b	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-373	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-455-5p	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-490-3p	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-491-3p	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-502-5p	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-506	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-508-3p	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-509-3-5p	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-510	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-518b	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-518c	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-519a	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-524-5p	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-525-5p	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-526b*	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-548b-3p	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-598	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-608	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-631	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-642	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-662	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-885-5p	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-887	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-888	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-934	#DIV/0!	#DIV/0!	#DIV/0!
hsa-miR-936	#DIV/0!	#DIV/0!	#DIV/0!
