SystematicName	ControlType	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
DarkCorner	1	3.60157	5.31932	0
NC1_00000197	-1	-0.953087	13.0275	0
NC1_00000215	-1	7.76169	13.0713	0
NC2_00079215	-1	2.19561	13.0425	0
NC2_00092197	-1	3.9614	13.0535	0
NC2_00106057	-1	7.59006	13.0902	0
NC2_00122731	-1	4.98393	13.0703	0
NegativeControl	-1	8.66069	58.7115	0
SCorner3	1	0.972484	1.02645	0
dmr_285	1	-0.68604	2.87628	0
dmr_3	1	-0.335895	2.87781	0
dmr_308	1	-0.36774	2.87844	0
dmr_316	1	0.277555	2.88054	0
dmr_31a	1	-1.50178	2.87622	0
dmr_6	1	2.37771	2.8928	0
ebv-miR-BART1-3p	0	-0.760087	1.6278	0
ebv-miR-BART1-5p	0	-1.09056	1.62767	0
ebv-miR-BART10	0	-0.825793	1.62808	0
ebv-miR-BART10*	0	-0.787399	1.62861	0
ebv-miR-BART11-3p	0	-0.450852	1.62975	0
ebv-miR-BART11-5p	0	1.20575	1.63087	0
ebv-miR-BART12	0	939.687	48.0607	1
ebv-miR-BART13	0	2.7788	2.31586	0
ebv-miR-BART13*	0	-0.698867	1.62816	0
ebv-miR-BART14	0	-1.2589	1.627	0
ebv-miR-BART14*	0	-0.567945	1.62753	0
ebv-miR-BART15	0	2.30365	1.64356	0
ebv-miR-BART16	0	5.11905	1.66055	0
ebv-miR-BART17-3p	0	-1.18282	1.62807	0
ebv-miR-BART17-5p	0	-1.22765	1.62816	0
ebv-miR-BART18-3p	0	0.864563	1.63179	0
ebv-miR-BART18-5p	0	-1.5935	1.62757	0
ebv-miR-BART19-3p	0	1.33835	1.63212	0
ebv-miR-BART19-5p	0	-1.68029	1.62714	0
ebv-miR-BART2-3p	0	0.737553	1.63605	0
ebv-miR-BART2-5p	0	-0.859078	1.62777	0
ebv-miR-BART20-3p	0	-0.540145	1.62869	0
ebv-miR-BART20-5p	0	-0.0299767	1.62922	0
ebv-miR-BART3	0	-1.47477	1.62746	0
ebv-miR-BART3*	0	0.949288	1.62957	0
ebv-miR-BART4	0	0.190258	1.53781	0
ebv-miR-BART5	0	-1.78728	1.62733	0
ebv-miR-BART6-3p	0	-0.429748	1.62931	0
ebv-miR-BART6-5p	0	-1.34111	1.62744	0
ebv-miR-BART7	0	-0.53385	1.62934	0
ebv-miR-BART7*	0	-1.57723	1.63073	0
ebv-miR-BART8	0	2.98073	1.68044	0
ebv-miR-BART8*	0	-1.6546	1.62885	0
ebv-miR-BART9	0	-1.25679	1.62935	0
ebv-miR-BART9*	0	-1.05209	1.62696	0
ebv-miR-BHRF1-1	0	3.49241	1.67457	0
ebv-miR-BHRF1-2	0	-2.77869	1.62678	0
ebv-miR-BHRF1-2*	0	-1.24828	1.62861	0
ebv-miR-BHRF1-3	0	-2.22325	1.62968	0
hcmv-miR-UL112	0	-0.512649	1.63004	0
hcmv-miR-UL148D	0	0.462746	1.62983	0
hcmv-miR-UL22A	0	-2.0682	1.62681	0
hcmv-miR-UL22A*	0	-0.348416	1.62963	0
hcmv-miR-UL36	0	-0.435563	1.6281	0
hcmv-miR-UL36*	0	0.271309	1.63625	0
hcmv-miR-UL70-3p	0	1.32942	2.30769	0
hcmv-miR-UL70-5p	0	-1.84993	1.62702	0
hcmv-miR-US25-1	0	-1.30855	1.62795	0
hcmv-miR-US25-1*	0	-0.782009	1.62824	0
hcmv-miR-US25-2-3p	0	-0.910172	1.62745	0
hcmv-miR-US25-2-5p	0	-1.63176	1.62747	0
hcmv-miR-US33-3p	0	-2.42111	1.62763	0
hcmv-miR-US33-5p	0	0.537812	1.63056	0
hcmv-miR-US4	0	-0.359419	1.62905	0
hcmv-miR-US5-1	0	-1.65462	1.62741	0
hcmv-miR-US5-2	0	0.961199	1.63255	0
hiv1-miR-H1	0	-1.46423	2.3014	0
hiv1-miR-N367	0	1.17642	1.63102	0
hsa-let-7a	0	31047.7	2396.78	1
hsa-let-7a*	0	1.29101	1.63647	0
hsa-let-7b	0	12524	999.396	1
hsa-let-7b*	0	2.0327	1.63363	0
hsa-let-7c	0	1348.74	124.439	1
hsa-let-7c*	0	-0.604595	1.62855	0
hsa-let-7d	0	12789.1	1054.34	1
hsa-let-7d*	0	370.433	30.7226	1
hsa-let-7e	0	1989.9	158.981	1
hsa-let-7e*	0	1.895	1.63968	0
hsa-let-7f	0	27553.3	2400.3	1
hsa-let-7f-1*	0	0.613196	1.62967	0
hsa-let-7f-2*	0	0.71762	1.63046	0
hsa-let-7g	0	17133.8	1422.27	1
hsa-let-7g*	0	2.04113	1.64403	0
hsa-let-7i	0	22609.6	1691.33	1
hsa-let-7i*	0	1.60535	1.64398	0
