SystematicName	ControlType	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
DarkCorner	1	5.17545	4.57001	0
NC1_00000197	-1	2.63035	10.9	0
NC1_00000215	-1	7.58441	10.9256	0
NC2_00079215	-1	3.80165	10.9123	0
NC2_00092197	-1	5.34897	10.9078	0
NC2_00106057	-1	4.42982	10.9079	0
NC2_00122731	-1	1.8202	10.8912	0
NegativeControl	-1	2.27266	49.0148	0
SCorner3	1	0.342146	0.851239	0
dmr_285	1	-1.38145	2.40161	0
dmr_3	1	-1.50646	2.40122	0
dmr_308	1	0.772144	2.40793	0
dmr_316	1	-0.541217	2.40394	0
dmr_31a	1	-1.09677	2.40519	0
dmr_6	1	3.15775	2.42429	0
ebv-miR-BART1-3p	0	-0.858598	1.35835	0
ebv-miR-BART1-5p	0	-1.78673	1.35863	0
ebv-miR-BART10	0	1.43374	1.36478	0
ebv-miR-BART10*	0	-0.370175	1.35904	0
ebv-miR-BART11-3p	0	-0.693394	1.35857	0
ebv-miR-BART11-5p	0	-1.35342	1.36038	0
ebv-miR-BART12	0	792.428	40.9327	1
ebv-miR-BART13	0	9.78929	2.12782	1
ebv-miR-BART13*	0	-1.88084	1.36448	0
ebv-miR-BART14	0	-1.18849	1.35815	0
ebv-miR-BART14*	0	-0.0236654	1.36001	0
ebv-miR-BART15	0	0.824837	1.36222	0
ebv-miR-BART16	0	1.53283	1.36563	0
ebv-miR-BART17-3p	0	-0.558461	1.35941	0
ebv-miR-BART17-5p	0	-0.732106	1.35908	0
ebv-miR-BART18-3p	0	-1.04597	1.35852	0
ebv-miR-BART18-5p	0	-0.50975	1.36558	0
ebv-miR-BART19-3p	0	0.021392	1.36216	0
ebv-miR-BART19-5p	0	-0.459572	1.37107	0
ebv-miR-BART2-3p	0	-1.01751	1.35831	0
ebv-miR-BART2-5p	0	0.0124557	1.35955	0
ebv-miR-BART20-3p	0	-1.31044	1.35814	0
ebv-miR-BART20-5p	0	-0.7578	1.35818	0
ebv-miR-BART3	0	-1.07272	1.3592	0
ebv-miR-BART3*	0	0.925872	1.36233	0
ebv-miR-BART4	0	-0.331673	1.28324	0
ebv-miR-BART5	0	-2.09444	1.35756	0
ebv-miR-BART6-3p	0	-1.66047	1.36001	0
ebv-miR-BART6-5p	0	-1.7006	1.3579	0
ebv-miR-BART7	0	0.566152	1.36244	0
ebv-miR-BART7*	0	-1.62654	1.35834	0
ebv-miR-BART8	0	1.62481	1.36934	0
ebv-miR-BART8*	0	-0.535221	1.35976	0
ebv-miR-BART9	0	-0.908007	1.35878	0
ebv-miR-BART9*	0	-0.767001	1.3588	0
ebv-miR-BHRF1-1	0	1.0195	1.36687	0
ebv-miR-BHRF1-2	0	-1.11585	1.3586	0
ebv-miR-BHRF1-2*	0	-0.701079	1.35886	0
ebv-miR-BHRF1-3	0	-0.867798	1.36027	0
hcmv-miR-UL112	0	-2.39275	1.35795	0
hcmv-miR-UL148D	0	-0.0524624	1.35952	0
hcmv-miR-UL22A	0	-0.732008	1.36013	0
hcmv-miR-UL22A*	0	-0.544671	1.36129	0
hcmv-miR-UL36	0	-1.08302	1.3595	0
hcmv-miR-UL36*	0	-0.294992	1.35851	0
hcmv-miR-UL70-3p	0	5.49441	1.9717	0
hcmv-miR-UL70-5p	0	-1.88118	1.35907	0
hcmv-miR-US25-1	0	-1.49295	1.35837	0
hcmv-miR-US25-1*	0	0.304811	1.36378	0
hcmv-miR-US25-2-3p	0	-2.13707	1.35765	0
hcmv-miR-US25-2-5p	0	-1.27248	1.35963	0
hcmv-miR-US33-3p	0	-0.9065	1.35885	0
hcmv-miR-US33-5p	0	1.65666	1.36775	0
hcmv-miR-US4	0	-0.902087	1.35948	0
hcmv-miR-US5-1	0	-1.89025	1.35891	0
hcmv-miR-US5-2	0	-0.692822	1.36208	0
hiv1-miR-H1	0	0.991924	1.92624	0
hiv1-miR-N367	0	0.889247	1.36512	0
hsa-let-7a	0	30912.9	2412.1	1
hsa-let-7a*	0	2.05405	1.37197	0
hsa-let-7b	0	13995.1	1122.38	1
hsa-let-7b*	0	2.24257	1.36937	0
hsa-let-7c	0	1423.19	131.086	1
hsa-let-7c*	0	-1.66018	1.35768	0
hsa-let-7d	0	11167.1	938.212	1
hsa-let-7d*	0	48.8021	4.47758	1
hsa-let-7e	0	2783.32	223.556	1
hsa-let-7e*	0	3.5235	1.40646	1
hsa-let-7f	0	26782.2	2360.62	1
hsa-let-7f-1*	0	1.33395	1.36427	0
hsa-let-7f-2*	0	-0.133541	1.36113	0
hsa-let-7g	0	16646.1	1410.18	1
hsa-let-7g*	0	1.55222	1.37166	0
hsa-let-7i	0	20010.1	1509.58	1
hsa-let-7i*	0	-0.209504	1.36676	0
hsa-miR-1	0	131.694	12.2391	1
hsa-miR-100	0	39.5343	3.868	1
hsa-miR-100*	0	0.713941	1.36311	0
hsa-miR-101	0	1556.28	119.135	1
hsa-miR-101*	0	3.32801	1.60388	0
hsa-miR-103	0	28823.7	2447.47	1
hsa-miR-105	0	0.254184	1.36287	0
hsa-miR-105*	0	0.766996	1.36297	0
hsa-miR-106a	0	206.41	14.2194	1
hsa-miR-106a*	0	1.04651	1.37095	0
hsa-miR-106b	0	9958.75	798.896	1
