SystematicName	ControlType	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
hsa-miR-1237	0	2.43376	1.56084	0
hsa-miR-1238	0	8.76932	1.6142	1
hsa-miR-124	0	2.21639	1.80768	0
hsa-miR-124*	0	-0.738221	1.54798	0
hsa-miR-125a-3p	0	12.6452	1.96849	1
hsa-miR-125a-5p	0	885.771	81.2833	1
hsa-miR-125b	0	154.318	14.826	1
hsa-miR-125b-1*	0	1.96398	1.57152	0
hsa-miR-125b-2*	0	0.245076	2.1914	0
hsa-miR-126	0	17722.4	1458.57	1
hsa-miR-126*	0	434.513	37.688	1
hsa-miR-127-3p	0	81.6487	7.15517	1
hsa-miR-127-5p	0	-1.49036	1.54826	0
hsa-miR-128	0	430.735	34.8993	1
hsa-miR-129*	0	1.33772	2.19505	0
hsa-miR-129-3p	0	2.12494	2.20354	0
hsa-miR-129-5p	0	0.99902	2.19482	0
hsa-miR-130a	0	9902.41	743.339	1
hsa-miR-130a*	0	-0.231594	1.55003	0
hsa-miR-130b	0	2020.98	172.309	1
hsa-miR-130b*	0	12.6889	1.79842	1
hsa-miR-132	0	58.7441	5.17855	1
hsa-miR-132*	0	6.75819	2.28307	1
hsa-miR-133a	0	1.49158	2.19745	0
hsa-miR-133b	0	28.0616	3.35429	1
hsa-miR-134	0	166.348	13.4368	1
hsa-miR-135a	0	0.529121	2.19364	0
hsa-miR-135a*	0	0.627577	1.55233	0
hsa-miR-135b	0	0.0334198	2.19294	0
hsa-miR-135b*	0	-2.05257	1.54734	0
hsa-miR-136	0	156.3	12.6238	1
hsa-miR-136*	0	15.5771	2.51352	1
hsa-miR-137	0	-1.47868	2.18863	0
hsa-miR-138	0	-1.19171	2.18895	0
hsa-miR-138-1*	0	-3.05083	1.54746	0
hsa-miR-138-2*	0	-1.1808	1.55844	0
hsa-miR-139-3p	0	14.7874	2.46175	1
hsa-miR-139-5p	0	166.928	15.122	1
hsa-miR-140-3p	0	1028.37	87.8668	1
hsa-miR-140-5p	0	2797.5	205.207	1
hsa-miR-141	0	80.2883	7.49565	1
hsa-miR-141*	0	-0.830654	1.54769	0
hsa-miR-142-3p	0	20882.2	1560.74	1
hsa-miR-142-5p	0	1966.59	139.116	1
hsa-miR-143	0	53.2254	5.62223	1
hsa-miR-143*	0	1.83592	2.2063	0
hsa-miR-144	0	180.652	13.0359	1
hsa-miR-144*	0	54.7895	5.48938	1
hsa-miR-145	0	166.52	15.1976	1
hsa-miR-145*	0	4.74107	2.22282	0
hsa-miR-146a	0	4900.89	426.106	1
hsa-miR-146a*	0	0.635032	1.54996	0
hsa-miR-146b-3p	0	-0.780309	1.55039	0
hsa-miR-146b-5p	0	315.332	28.2753	1
hsa-miR-147	0	0.538877	2.20043	0
hsa-miR-147b	0	-0.337213	1.55253	0
hsa-miR-148a	0	1136.02	84.9813	1
hsa-miR-148a*	0	2.22426	1.58271	1
hsa-miR-148b	0	1205.77	109.799	1
hsa-miR-148b*	0	3.96585	1.58099	1
hsa-miR-149	0	3.3672	2.20599	0
hsa-miR-149*	0	-1.7011	1.54784	0
hsa-miR-150	0	526.475	44.9725	1
hsa-miR-150*	0	1.78921	1.55367	0
hsa-miR-151-3p	0	3611.2	290.183	1
hsa-miR-151-5p	0	10172.3	898.752	1
hsa-miR-152	0	74.3699	7.57462	1
hsa-miR-153	0	2.98045	2.21808	0
hsa-miR-154	0	338.894	31.834	1
hsa-miR-154*	0	496.31	35.3591	1
hsa-miR-155	0	191.355	16.8979	1
hsa-miR-155*	0	-1.79295	1.54732	0
hsa-miR-15a	0	12442.2	928.121	1
hsa-miR-15a*	0	14.5262	1.99943	1
