SystematicName	ControlType	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
DarkCorner	1	4.90318	5.00257	0
NC1_00000197	-1	0.949057	12.1715	0
NC1_00000215	-1	12.992	12.2522	0
NC2_00079215	-1	-2.94478	12.1624	0
NC2_00092197	-1	1.09734	12.1819	0
NC2_00106057	-1	4.53646	12.1919	0
NC2_00122731	-1	3.05013	12.1803	0
NegativeControl	-1	-2.72657	54.7371	0
SCorner3	1	0.740798	0.979493	0
dmr_285	1	-1.87361	2.68746	0
dmr_3	1	-2.1901	2.68515	0
dmr_308	1	-1.83583	2.68595	0
dmr_316	1	-1.76963	2.68422	0
dmr_31a	1	-2.65805	2.68754	0
dmr_6	1	1.17181	2.70153	0
ebv-miR-BART1-3p	0	-1.20818	1.52054	0
ebv-miR-BART1-5p	0	-1.98077	1.51937	0
ebv-miR-BART10	0	0.0803989	1.52391	0
ebv-miR-BART10*	0	-0.481387	1.52008	0
ebv-miR-BART11-3p	0	-2.37323	1.51831	0
ebv-miR-BART11-5p	0	-0.80066	1.51935	0
ebv-miR-BART12	0	1298.17	66.4738	1
ebv-miR-BART13	0	4.27201	2.18712	0
ebv-miR-BART13*	0	-2.4865	1.51893	0
ebv-miR-BART14	0	-1.56319	1.51897	0
ebv-miR-BART14*	0	0.300529	1.53615	0
ebv-miR-BART15	0	0.842264	1.52178	0
ebv-miR-BART16	0	8.23621	1.60808	1
ebv-miR-BART17-3p	0	-0.0676031	1.52134	0
ebv-miR-BART17-5p	0	-1.96348	1.51873	0
ebv-miR-BART18-3p	0	-0.761813	1.52093	0
ebv-miR-BART18-5p	0	0.258016	1.52117	0
ebv-miR-BART19-3p	0	-0.486023	1.52254	0
ebv-miR-BART19-5p	0	-1.14837	1.53069	0
ebv-miR-BART2-3p	0	-0.987641	1.51912	0
ebv-miR-BART2-5p	0	-2.09373	1.51876	0
ebv-miR-BART20-3p	0	-2.85716	1.51824	0
ebv-miR-BART20-5p	0	-1.25719	1.51861	0
ebv-miR-BART3	0	-1.98708	1.51954	0
ebv-miR-BART3*	0	3.03501	1.5409	0
ebv-miR-BART4	0	-0.00812628	1.43413	0
ebv-miR-BART5	0	-0.627708	1.52002	0
ebv-miR-BART6-3p	0	-2.20554	1.51865	0
ebv-miR-BART6-5p	0	-1.91944	1.51881	0
ebv-miR-BART7	0	-1.65363	1.51917	0
ebv-miR-BART7*	0	-3.46655	1.51827	0
ebv-miR-BART8	0	4.0781	1.6427	1
ebv-miR-BART8*	0	-2.6066	1.51844	0
