"ID"	"miRNA_ID"	"SPOT_ID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"hsa-miR-1979"	"hsa-miR-1979"	"hsa-miR-1979"	""	0.897178286944444	4.05889724792308	5.31238017067288	0.000120648575178367	0.0162258897196617	1.33495243556324
"hsa-miR-199b-5p"	"hsa-miR-199b-5p"	"hsa-miR-199b-5p"	""	0.974199074666667	-2.85469451476923	5.2601717659573	0.000132417575893449	0.0162258897196617	1.24315340576946
"hsa-miR-199a-5p"	"hsa-miR-199a-5p"	"hsa-miR-199a-5p"	""	-1.37626400763889	0.849920534615385	-4.99669866664954	0.000212987586178759	0.0162258897196617	0.774228849951438
"hsa-miR-151-5p"	"hsa-miR-151-5p"	"hsa-miR-151-5p"	""	-1.16097353669444	1.29529179123077	-4.8796263642455	0.000263835605197751	0.0162258897196617	0.562947157121162
"hsa-miR-487b"	"hsa-miR-487b"	"hsa-miR-487b"	""	-1.923549474625	-6.51986854041667	-4.67120459803438	0.000473987422361498	0.0202066187208688	0.0384722032399036
"hsa-miR-152"	"hsa-miR-152"	"hsa-miR-152"	""	-1.04866549566667	-2.40273478030769	-4.51000837636675	0.000524468770861492	0.0202066187208688	-0.114896794313003
"hsa-miR-326"	"hsa-miR-326"	"hsa-miR-326"	""	-0.910245176138888	-1.30113908907692	-4.46118282341307	0.000574985085553177	0.0202066187208688	-0.205562645176194
"hsa-miR-199a-3p"	"hsa-miR-199a-3p"	"hsa-miR-199a-3p"	""	-1.26079638711111	-0.192194677230769	-4.34716076682405	0.000713449826043711	0.020390732299765	-0.418207652775621
"hsa-miR-181b"	"hsa-miR-181b"	"hsa-miR-181b"	""	1.44562692947222	-0.918447062769231	4.30715206055129	0.000769814343687441	0.020390732299765	-0.493109107645712
"hsa-miR-155"	"hsa-miR-155"	"hsa-miR-155"	""	1.13643693275	0.838736155615385	4.25147707362954	0.000855968369602366	0.020390732299765	-0.597573206234059
"hsa-miR-378"	"hsa-miR-378"	"hsa-miR-378"	""	0.891562437805555	-1.02930686138462	4.18438612960685	0.000973091474367932	0.020390732299765	-0.723798749292542
"hsa-miR-501-5p"	"hsa-miR-501-5p"	"hsa-miR-501-5p"	""	1.76626228536111	-5.88974002646154	4.13595591985796	0.00106776197631459	0.020390732299765	-0.815133225637411
"hsa-miR-299-5p"	"hsa-miR-299-5p"	"hsa-miR-299-5p"	""	-1.65828895822222	-5.69646709284615	-4.13119766378246	0.00107755902397132	0.020390732299765	-0.824116169569756
"hsa-miR-376b"	"hsa-miR-376b"	"hsa-miR-376b"	""	-2.312642463	-4.44532571469231	-4.05919815884298	0.00123757073573548	0.0217458857850662	-0.960234339379673
"hsa-miR-449a"	"hsa-miR-449a"	"hsa-miR-449a"	""	1.19492698616667	-8.382362698	4.4738935063373	0.00234716371861191	0.0303895934093963	-1.12974624816675
"hsa-miR-125a-5p"	"hsa-miR-125a-5p"	"hsa-miR-125a-5p"	""	0.561495759444444	1.38887461546154	3.92494975958436	0.00160396780320288	0.0248402689611039	-1.21490050026986
"hsa-miR-181a"	"hsa-miR-181a"	"hsa-miR-181a"	""	1.0226773735	3.68883691092308	3.92121095267259	0.00161562724950269	0.0248402689611039	-1.22200703397378
"hsa-miR-18a*"	"hsa-miR-18a*"	"hsa-miR-18a*"	""	0.961191107888889	-2.95549751723077	3.8435856331187	0.00187823353790884	0.0271791441367986	-1.36969924779339
"hsa-miR-34a"	"hsa-miR-34a"	"hsa-miR-34a"	""	1.34775730488889	-2.79510211246154	3.76893439698075	0.00217181187397261	0.0296814289442923	-1.51195859423217
"hsa-miR-337-3p"	"hsa-miR-337-3p"	"hsa-miR-337-3p"	""	1.28197870183333	-7.9684812194	4.42588290073452	0.00521987641983883	0.0416923877552492	-1.66906618816837
"hsa-miR-376c"	"hsa-miR-376c"	"hsa-miR-376c"	""	-1.91011125602778	-2.81913091546154	-3.63650309338694	0.00281235463040157	0.0345919619539394	-1.76469801285009
"hsa-let-7b"	"hsa-let-7b"	"hsa-let-7b"	""	0.660421267916667	1.19325378969231	3.53872050174117	0.00340558559036135	0.0373714850679414	-1.95145182832042
"hsa-miR-181d"	"hsa-miR-181d"	"hsa-miR-181d"	""	1.08453281063889	0.0010530076153846	3.53466641358565	0.00343274630820569	0.0373714850679414	-1.95919477799404
